"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.182333333×10^-3,1.043929138×10^0,9.749974823×10^0,7.550299072×10^-1
8.767666659×10^-3,9.922865295×10^-1,9.775272217×10^0,8.385562134×10^-1
1.871766667×10^-2,1.068029022×10^0,9.859397278×10^0,9.392967224×10^-1
2.866766666×10^-2,1.182091827×10^0,9.964478760×10^0,9.493258667×10^-1
3.861866666×10^-2,1.241667938×10^0,1.004231689×10^1,8.635542297×10^-1
4.856866667×10^-2,1.241069183×10^0,9.990374908×10^0,7.194039917×10^-1
5.851866666×10^-2,1.538500671×10^0,9.999954987×10^0,5.716612244×10^-1
6.846866666×10^-2,1.412313080×10^0,9.953401794×10^0,3.523672485×10^-1
7.841866666×10^-2,1.397194519×10^0,9.863438873×10^0,2.737806702×10^-1
8.836866666×10^-2,1.265318756×10^0,9.804461517×10^0,2.586621094×10^-1
9.831866667×10^-2,1.108145599×10^0,9.781110077×10^0,2.929408264×10^-1
1.082696667×10^-1,9.801617432×10^-1,9.765841827×10^0,4.908293152×10^-1
1.182196667×10^-1,8.231382751×10^-1,9.687554626×10^0,7.171586609×10^-1
1.281699583×10^-1,5.746549988×10^-1,9.576934662×10^0,9.788145447×10^-1
1.381199583×10^-1,1.938468933×10^-1,9.416019287×10^0,1.351090393×10^0
1.480699583×10^-1,-8.891510010×10^-2,9.408235474×10^0,1.766476593×10^0
1.580199583×10^-1,-1.475930786×10^-1,9.562863922×10^0,2.013912048×10^0
1.679709583×10^-1,-7.649093628×10^-2,9.720336456×10^0,1.970202942×10^0
1.779209583×10^-1,1.857637024×10^-1,9.844727783×10^0,1.749711456×10^0
1.878709583×10^-1,6.242019653×10^-1,9.886041870×10^0,1.393302612×10^0
1.978209583×10^-1,7.485932922×10^-1,9.980046387×10^0,1.300046539×10^0
2.077709583×10^-1,8.208929443×10^-1,1.002854553×10^1,9.949809265×10^-1
2.177209583×10^-1,1.086440735×10^0,9.973609772×10^0,7.872129822×10^-1
2.276719583×10^-1,1.162781982×10^0,1.014275803×10^1,7.506889343×10^-1
2.376219583×10^-1,1.138682098×10^0,1.015952316×10^1,7.961943054×10^-1
2.475719583×10^-1,9.927355957×10^-1,1.007854156×10^1,8.620573425×10^-1
2.575219583×10^-1,7.647596741×10^-1,9.928852844×10^0,9.217831421×10^-1
2.674719583×10^-1,4.972659302×10^-1,9.759554901×10^0,9.331594849×10^-1
2.774219583×10^-1,2.903961182×10^-1,9.627978516×10^0,9.966275024×10^-1
2.873729583×10^-1,1.767823792×10^-1,9.604178009×10^0,1.112037506×10^0
2.973229583×10^-1,7.649093628×10^-2,9.618697815×10^0,1.238524475×10^0
3.072729583×10^-1,7.873626709×10^-2,9.648186493×10^0,1.362317047×10^0
3.172229583×10^-1,3.106040955×10^-1,9.694290619×10^0,1.438358917×10^0
3.271729583×10^-1,4.593946838×10^-1,9.740993500×10^0,1.358125763×10^0
3.371229583×10^-1,4.887336731×10^-1,9.780062256×10^0,1.119072876×10^0
3.470739583×10^-1,4.981640625×10^-1,9.764494629×10^0,8.687933350×10^-1
3.570239583×10^-1,3.990701294×10^-1,9.697583771×10^0,7.012916565×10^-1
3.669739583×10^-1,2.773731995×10^-1,9.641450500×10^0,6.364764404×10^-1
3.769239583×10^-1,1.579216003×10^-1,9.639205170×10^0,6.795867920×10^-1
3.868739583×10^-1,5.403762817×10^-2,9.592202911×10^0,8.431965637×10^-1
3.968239583×10^-1,-8.876541138×10^-2,9.568851471×10^0,1.122815094×10^0
4.067749583×10^-1,-2.570155334×10^-1,9.512119446×10^0,1.321452026×10^0
4.167249583×10^-1,-3.495231628×10^-1,9.455986176×10^0,1.438658295×10^0
4.266749583×10^-1,-2.218386841×10^-1,9.453890533×10^0,1.572480011×10^0
4.366249583×10^-1,-4.490661621×10^-4,9.490264893×10^0,1.590891724×10^0
4.465749583×10^-1,1.550775146×10^-1,9.550439758×10^0,1.494641876×10^0
4.565249583×10^-1,2.495310974×10^-1,9.626481628×10^0,1.388662262×10^0
4.664759583×10^-1,3.061134338×10^-1,9.617500305×10^0,1.304686890×10^0
4.764259583×10^-1,3.185375977×10^-1,9.597442017×10^0,1.243164825×10^0
4.863759583×10^-1,2.941383362×10^-1,9.604178009×10^0,1.148860931×10^0
4.963259583×10^-1,2.900967407×10^-1,9.617949371×10^0,1.085841980×10^0
5.062759583×10^-1,2.992277527×10^-1,9.652677155×10^0,1.112935638×10^0
5.162259583×10^-1,2.794688416×10^-1,9.676926727×10^0,1.159937897×10^0
5.261769583×10^-1,2.529739380×10^-1,9.664203186×10^0,1.203796692×10^0
5.361269583×10^-1,1.779798889×10^-1,9.694140930×10^0,1.296603699×10^0
5.460769583×10^-1,1.341210938×10^-1,9.679770813×10^0,1.413360901×10^0
5.560269583×10^-1,7.244934082×10^-2,9.660460968×10^0,1.442849579×10^0
5.659769583×10^-1,2.933898926×10^-2,9.642049255×10^0,1.453028412×10^0
5.759269583×10^-1,1.990859985×10^-2,9.677375793×10^0,1.493893433×10^0
