"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.866219583×10^-1,-5.084307119×10^-2,1.258633137×10^-1,1.368624717×10^-2
6.965719583×10^-1,-2.366151847×10^-2,1.098225638×10^-1,2.604544535×10^-2
7.065229583×10^-1,-1.259821374×10^-2,1.274137944×10^-1,2.251755632×10^-2
7.164729583×10^-1,-2.585852705×10^-2,1.481047422×10^-1,9.120495990×10^-3
7.264229583×10^-1,-6.070066616×10^-2,1.581224799×10^-1,-1.669165865×10^-2
7.363729583×10^-1,-1.045694202×10^-1,1.666415334×10^-1,-4.629291221×10^-2
7.463229583×10^-1,-1.519699693×10^-1,1.837550104×10^-1,-7.627239078×10^-2
7.562729583×10^-1,-1.821576059×10^-1,1.995580494×10^-1,-9.299995005×10^-2
7.662239583×10^-1,-1.901960969×10^-1,2.135071605×10^-1,-8.557399362×10^-2
7.761739583×10^-1,-1.753503829×10^-1,1.985909492×10^-1,-6.580616534×10^-2
7.861239583×10^-1,-1.489685774×10^-1,1.723713279×10^-1,-6.597793847×10^-2
7.960739583×10^-1,-1.242192164×10^-1,1.757474244×10^-1,-6.420157105×10^-2
8.060239583×10^-1,-1.142842919×10^-1,1.996950954×10^-1,-7.088877261×10^-2
8.159739583×10^-1,-1.235247552×10^-1,2.485713512×10^-1,-8.560645580×10^-2
8.259249583×10^-1,-1.561974734×10^-1,2.917787433×10^-1,-9.195862710×10^-2
8.358749583×10^-1,-1.871936470×10^-1,3.192510605×10^-1,-9.763809294×10^-2
8.458249583×10^-1,-2.026751339×10^-1,3.355517387×10^-1,-9.372990578×10^-2
8.557749583×10^-1,-1.939893067×10^-1,3.505432904×10^-1,-8.461448550×10^-2
8.657249583×10^-1,-1.767461300×10^-1,3.371390700×10^-1,-7.366196811×10^-2
8.756749583×10^-1,-1.499515176×10^-1,3.085560203×10^-1,-7.669059932×10^-2
8.856259583×10^-1,-1.268315464×10^-1,2.751791477×10^-1,-6.245493889×10^-2
8.955759583×10^-1,-1.167818084×10^-1,2.534847260×10^-1,-3.644635156×10^-2
9.055259583×10^-1,-1.173884794×10^-1,2.734935880×10^-1,-1.920105331×10^-2
9.154759583×10^-1,-1.152465418×10^-1,3.220871687×10^-1,-2.123403363×10^-3
9.254259583×10^-1,-1.008201987×10^-1,3.698525727×10^-1,2.121920325×10^-2
9.353759583×10^-1,-7.588853687×10^-2,4.121564627×10^-1,3.644809872×10^-2
9.453269583×10^-1,-4.019258544×10^-2,4.496319294×10^-1,5.034687370×10^-2
