"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.757277224439168×10^9,"2025-09-07 22:33:44.439 UTC+02:00"
"PAUSE",1.610557341665844×10^1,1.757277240544738×10^9,"2025-09-07 22:34:00.545 UTC+02:00"
