"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.506958328×10^-3,-1.706527621×10^-1,-1.670377254×10^-1,-5.823131204×10^-1
1.445695832×10^-2,-2.866054773×10^-1,-4.584000707×10^-1,-5.550681949×10^-1
2.440695833×10^-2,-3.341973126×10^-1,-8.159518838×10^-1,-4.321287274×10^-1
3.435695833×10^-2,-2.915188074×10^-1,-9.491056800×10^-1,-3.987891376×10^-1
4.430695833×10^-2,-1.356727481×10^-1,-1.069802880×10^0,-4.824933112×10^-1
5.425695833×10^-2,1.334745586×10^-1,-1.058978915×10^0,-5.737468004×10^-1
6.420695833×10^-2,4.377039075×10^-1,-9.334394336×10^-1,-5.901460648×10^-1
7.415595833×10^-2,6.582794189×10^-1,-7.197655439×10^-1,-4.902223945×10^-1
8.410595833×10^-2,6.421890259×10^-1,-2.577806711×10^-1,-2.353644967×10^-1
9.405595833×10^-2,3.050344288×10^-1,8.023945242×10^-2,1.423585713×10^-1
1.040059583×10^-1,1.094405632×10^-2,1.362828165×10^-1,2.390754819×10^-1
1.139559583×10^-1,-2.567190826×10^-1,1.743867993×10^-1,9.715268761×10^-2
1.239059583×10^-1,-6.255960464×10^-1,2.365852743×10^-1,2.113906294×10^-2
1.338559583×10^-1,-9.767727256×10^-1,3.140963316×10^-1,3.787729517×10^-2
1.438059583×10^-1,-1.205224276×10^0,3.900296092×10^-1,6.277588010×10^-2
1.537549583×10^-1,-1.226277709×10^0,5.348384976×10^-1,1.389129907×10^-1
1.637049583×10^-1,-1.055231094×10^0,6.188762188×10^-1,2.512778044×10^-1
1.736549583×10^-1,-8.131348491×10^-1,5.751708150×10^-1,3.852505386×10^-1
1.836049583×10^-1,-5.889943838×10^-1,4.884972274×10^-1,4.647046924×10^-1
1.935549583×10^-1,-4.109564722×10^-1,3.645273447×10^-1,4.052637517×10^-1
2.035049583×10^-1,-2.903686762×10^-1,1.784763336×10^-1,2.592336535×10^-1
2.134549583×10^-1,-2.220796347×10^-1,-2.560648508×10^-2,1.355327666×10^-1
2.234049583×10^-1,-2.343467325×10^-1,-2.528424859×10^-1,7.355502993×10^-2
2.333549583×10^-1,-2.885159552×10^-1,-4.707812071×10^-1,3.358071670×10^-2
2.433039583×10^-1,-4.030153155×10^-1,-6.019638181×10^-1,1.110888086×10^-2
2.532539583×10^-1,-5.198953152×10^-1,-7.656152844×10^-1,-1.032184158×10^-2
2.632039583×10^-1,-6.291831732×10^-1,-8.349602818×10^-1,2.848387510×10^-2
2.731539583×10^-1,-6.879325509×10^-1,-8.041091561×10^-1,7.011760771×10^-2
2.831039583×10^-1,-6.730226278×10^-1,-6.593488455×10^-1,1.004518494×10^-1
2.930539583×10^-1,-5.823928714×10^-1,-4.622522891×10^-1,1.102900952×10^-1
3.030039583×10^-1,-4.401594698×10^-1,-2.611569762×10^-1,1.336162388×10^-1
3.129539583×10^-1,-3.340516686×10^-1,-1.734540015×10^-1,3.752538562×10^-2
3.229029583×10^-1,-1.774677336×10^-1,9.140119702×10^-2,-2.623234689×10^-1
3.328529583×10^-1,1.422447562×10^-1,4.592686892×10^-1,-5.327895880×10^-1
3.428029583×10^-1,5.560910702×10^-1,6.530668139×10^-1,-7.005776167×10^-1
3.527529583×10^-1,9.582030773×10^-1,7.191776633×10^-1,-7.985848784×10^-1
3.627029583×10^-1,1.240616083×10^0,7.337006927×10^-1,-9.016580582×10^-1
3.726529583×10^-1,1.392502069×10^0,7.715836167×10^-1,-9.857005477×10^-1
3.826029583×10^-1,1.450590372×10^0,7.931761146×10^-1,-9.988009334×10^-1
3.925529583×10^-1,1.427227855×10^0,8.513225317×10^-1,-9.630144238×10^-1
4.025019583×10^-1,1.322820306×10^0,9.584859610×10^-1,-8.902710080×10^-1
4.124519583×10^-1,1.230296254×10^0,1.152313709×10^0,-8.595927358×10^-1
4.224019583×10^-1,1.243014336×10^0,1.498105407×10^0,-9.689506292×10^-1
4.323519583×10^-1,1.424473524×10^0,1.874391437×10^0,-1.152477860×10^0
4.423019583×10^-1,1.745706916×10^0,2.068820715×10^0,-1.337350011×10^0
4.522519583×10^-1,2.063260317×10^0,2.049894094×10^0,-1.503812551×10^0
4.622019583×10^-1,2.294719696×10^0,1.944055080×10^0,-1.610640407×10^0
4.721519583×10^-1,2.439473629×10^0,1.912979960×10^0,-1.633553147×10^0
4.821019583×10^-1,2.535157204×10^0,1.921252728×10^0,-1.608928323×10^0
4.920509583×10^-1,2.539879084×10^0,1.947352290×10^0,-1.570282340×10^0
5.020009583×10^-1,2.392818928×10^0,1.944389462×10^0,-1.534004450×10^0
5.119509583×10^-1,2.184003115×10^0,1.790954709×10^0,-1.559526086×10^0
5.219009583×10^-1,1.999327302×10^0,1.600195408×10^0,-1.684985042×10^0
5.318509583×10^-1,1.861107349×10^0,1.363666296×10^0,-1.837003708×10^0
5.418009583×10^-1,1.721346498×10^0,1.131456971×10^0,-1.861559153×10^0
5.517509583×10^-1,1.623193026×10^0,9.498264790×10^-1,-1.785025239×10^0
5.617009583×10^-1,1.589516759×10^0,8.132905364×10^-1,-1.765917063×10^0
