"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.018958330×10^-3,8.232879639×10^-3,9.763297119×10^0,7.226821747×10^0
1.196895832×10^-2,-2.760260010×10^-1,9.444011078×10^0,6.765032043×10^0
2.191895833×10^-2,-7.719447327×10^-1,9.640851746×10^0,7.026837616×10^0
3.186895832×10^-2,-1.056053925×10^0,1.021041733×10^1,7.952512665×10^0
4.181895833×10^-2,-8.864566040×10^-1,9.820927277×10^0,8.797355804×10^0
5.176895832×10^-2,-5.686674500×10^-1,9.218280487×10^0,9.775122528×10^0
6.171895833×10^-2,-6.659651184×10^-1,8.639733582×10^0,1.083372116×10^1
7.166795833×10^-2,-7.806266785×10^-1,7.937394104×10^0,1.129236740×10^1
8.161795833×10^-2,-9.445358276×10^-1,7.494614868×10^0,1.133951935×10^1
9.156795833×10^-2,-1.022523651×10^0,7.297923889×10^0,1.089614136×10^1
1.015179583×10^-1,-1.220112762×10^0,7.377558289×10^0,9.405241699×10^0
1.114679583×10^-1,-8.934919739×10^-1,7.429350586×10^0,8.558003540×10^0
1.214179583×10^-1,-9.502239990×10^-1,7.133565674×10^0,8.056246948×10^0
1.313679583×10^-1,-1.518143005×10^0,6.671925659×10^0,7.467371521×10^0
1.413179583×10^-1,-1.668430481×10^0,5.947282562×10^0,7.076983337×10^0
1.512669583×10^-1,-1.666634216×10^0,5.341641998×10^0,6.977889404×10^0
1.612169583×10^-1,-1.615590363×10^0,4.835843811×10^0,7.094347229×10^0
1.711669583×10^-1,-1.595232697×10^0,4.199067993×10^0,7.019951935×10^0
1.811169583×10^-1,-1.646426239×10^0,3.779191132×10^0,6.600673828×10^0
1.910669583×10^-1,-1.497336273×10^0,3.861070862×10^0,5.980363770×10^0
2.010169583×10^-1,-1.333277435×10^0,4.297263794×10^0,5.336702271×10^0
2.109669583×10^-1,-1.231938171×10^0,4.754562836×10^0,4.907694397×10^0
2.209169583×10^-1,-1.692530365×10^0,4.769831085×10^0,4.613106995×10^0
2.308669583×10^-1,-1.189875641×10^0,4.638853455×10^0,4.747677155×10^0
2.408159583×10^-1,-7.156617737×10^-1,4.799768829×10^0,4.873415680×10^0
2.507659583×10^-1,-5.342390442×10^-1,4.810845795×10^0,4.594695282×10^0
2.607159583×10^-1,5.688171387×10^-2,4.623884583×10^0,5.081033936×10^0
2.706659583×10^-1,1.682501221×10^-1,4.817282410×10^0,5.237458649×10^0
2.806159583×10^-1,4.439767456×10^-1,4.945865021×10^0,5.466332703×10^0
2.905659583×10^-1,6.797364807×10^-1,4.915777588×10^0,5.717210999×10^0
3.005159583×10^-1,1.044527893×10^0,4.959636383×10^0,5.877377930×10^0
3.104659583×10^-1,5.056484985×10^-1,5.119953003×10^0,6.049969025×10^0
3.204149583×10^-1,6.842271423×10^-1,5.423521729×10^0,5.878874817×10^0
3.303649583×10^-1,1.674867096×10^0,5.249284058×10^0,6.350993042×10^0
3.403149583×10^-1,1.726958771×10^0,5.065166931×10^0,6.728957062×10^0
3.502649583×10^-1,1.368753662×10^0,4.907395020×10^0,6.528823242×10^0
3.602149583×10^-1,6.447093201×10^-1,4.733456726×10^0,6.149961090×10^0
3.701649583×10^-1,2.697390747×10^-1,4.852459259×10^0,5.833369446×10^0
3.801149583×10^-1,-2.454895020×10^-2,5.119204559×10^0,5.605842590×10^0
3.900649583×10^-1,-4.004173279×10^-1,5.401816864×10^0,5.505401459×10^0
4.000139583×10^-1,-6.773414612×10^-1,5.686075745×10^0,5.442382507×10^0
4.099639583×10^-1,-8.418493652×10^-1,5.857020264×10^0,5.382507019×10^0
4.199139583×10^-1,-4.915777588×10^-1,6.008654938×10^0,6.015540619×10^0
4.298639583×10^-1,2.127076721×10^-1,6.278992767×10^0,7.148534546×10^0
4.398139583×10^-1,4.032614136×10^-1,6.362668762×10^0,8.267308044×10^0
4.497639583×10^-1,-7.499404907×10^-2,6.615193634×10^0,8.852141876×10^0
4.597139583×10^-1,-7.571255493×10^-1,6.926845551×10^0,8.375982056×10^0
4.696639583×10^-1,-1.391057281×10^0,7.111112366×10^0,7.305408325×10^0
4.796139583×10^-1,-2.146236877×10^0,7.418572998×10^0,6.073320465×10^0
4.895629583×10^-1,-2.856958923×10^0,7.716603241×10^0,5.086422729×10^0
4.995129583×10^-1,-3.302133179×10^0,7.730524292×10^0,3.966751099×10^0
5.094629583×10^-1,-3.190914459×10^0,7.826325073×10^0,2.866838379×10^0
5.194129583×10^-1,-2.645448761×10^0,8.024213562×10^0,2.564467163×10^0
5.293629583×10^-1,-2.246528320×10^0,8.081694031×10^0,3.038980408×10^0
5.393129583×10^-1,-2.863545227×10^0,8.065377960×10^0,3.776347046×10^0
5.492629583×10^-1,-3.936813354×10^0,8.113877106×10^0,4.414919128×10^0
5.592129583×10^-1,-4.379293213×10^0,8.435258789×10^0,5.246589661×10^0
5.691619583×10^-1,-4.430037689×10^0,8.385412445×10^0,5.454207916×10^0
5.791119583×10^-1,-4.542753296×10^0,8.077203369×10^0,5.086422729×10^0
5.890619583×10^-1,-4.785698090×10^0,8.613238678×10^0,4.954097900×10^0
5.990119583×10^-1,-5.061125336×10^0,9.110654297×10^0,4.728966064×10^0
6.089619583×10^-1,-5.338947601×10^0,9.152866516×10^0,4.612059174×10^0
6.189119583×10^-1,-5.570216675×10^0,9.022337952×10^0,4.778363342×10^0
6.288619583×10^-1,-5.784271545×10^0,8.887618103×10^0,5.188959503×10^0
6.388119583×10^-1,-5.938450928×10^0,8.865464172×10^0,5.673651581×10^0
6.487619583×10^-1,-5.942193146×10^0,8.985963593×10^0,5.886658630×10^0
6.587109583×10^-1,-5.846242676×10^0,8.884624329×10^0,6.048322449×10^0
6.686609583×10^-1,-5.784570923×10^0,8.692124634×10^0,6.366860046×10^0
6.786109583×10^-1,-5.823489990×10^0,8.752449188×10^0,6.431974640×10^0
6.885609583×10^-1,-5.907315674×10^0,8.922345886×10^0,5.909860382×10^0
6.985109583×10^-1,-6.127507782×10^0,8.850944366×10^0,4.878205719×10^0
7.084609583×10^-1,-6.453829193×10^0,8.604107666×10^0,4.002676392×10^0
7.184109583×10^-1,-6.563401337×10^0,8.290360107×10^0,3.554508362×10^0
7.283609583×10^-1,-6.392307129×10^0,8.058791656×10^0,2.735112305×10^0
7.383099583×10^-1,-6.510112152×10^0,7.763006744×10^0,3.222798157×10^0
7.482599583×10^-1,-5.940546570×10^0,7.397317200×10^0,4.383634186×10^0
7.582099583×10^-1,-4.939578094×10^0,7.236252136×10^0,4.795727234×10^0
7.681599583×10^-1,-4.280498657×10^0,7.260950775×10^0,5.129084015×10^0
7.781099583×10^-1,-3.537593536×10^0,7.467820587×10^0,5.277425537×10^0
7.880599583×10^-1,-3.764521637×10^0,7.108567657×10^0,4.843328247×10^0
7.980099583×10^-1,-4.247267761×10^0,6.872508545×10^0,4.639152832×10^0
8.079599583×10^-1,-4.953499146×10^0,6.753356323×10^0,4.463867340×10^0
8.179099583×10^-1,-5.479056244×10^0,6.444099426×10^0,3.650608521×10^0
8.278589583×10^-1,-6.252797241×10^0,5.797144775×10^0,3.534749451×10^0
8.378089583×10^-1,-6.710395660×10^0,5.274581451×10^0,3.911965027×10^0
8.477589583×10^-1,-7.620203705×10^0,4.920417938×10^0,3.929777985×10^0
8.577089583×10^-1,-7.757168884×10^0,5.204527130×10^0,3.236569519×10^0
8.676589583×10^-1,-7.507787476×10^0,4.844226379×10^0,1.513352966×10^0
8.776089583×10^-1,-7.573500824×10^0,3.803740082×10^0,3.929328918×10^-1
8.875589583×10^-1,-7.343578949×10^0,3.414848785×10^0,1.240769806×10^0
8.975089583×10^-1,-6.761289825×10^0,3.669618988×10^0,4.490661621×10^-1
9.074579583×10^-1,-7.068750458×10^0,4.068240051×10^0,-4.872367859×10^-1
9.174079583×10^-1,-7.549700317×10^0,4.982688446×10^0,-2.658471680×10^-1
9.273579583×10^-1,-6.507118378×10^0,6.670578461×10^0,2.860551453×10^-1
9.373079583×10^-1,-5.687273254×10^0,6.510561218×10^0,1.365610199×10^0
9.472579583×10^-1,-5.169499969×10^0,6.170767822×10^0,2.326162720×10^0
9.572079583×10^-1,-5.268294525×10^0,6.158942413×10^0,2.917732544×10^0
9.671579583×10^-1,-5.979166260×10^0,6.066135406×10^0,2.862347717×10^0
9.771079583×10^-1,-6.261928253×10^0,6.038592682×10^0,2.146087189×10^0
9.870579583×10^-1,-6.651867371×10^0,6.741830292×10^0,1.527423706×10^0
9.970069583×10^-1,-7.217091980×10^0,7.506589966×10^0,1.131197662×10^0
1.006956958×10^0,-6.976691895×10^0,8.236621857×10^0,9.566606140×10^-1
1.016906958×10^0,-7.566764832×10^0,8.309819641×10^0,-1.139879608×10^0
1.026856958×10^0,-7.843389587×10^0,8.799451447×10^0,-1.977388000×10^0
1.036806958×10^0,-7.587721252×10^0,9.045988770×10^0,-1.862277374×10^0
1.046756958×10^0,-7.437882843×10^0,9.454638977×10^0,-1.019380188×10^0
1.056706958×10^0,-7.046297150×10^0,9.342971191×10^0,-3.272195435×10^-1
1.066656958×10^0,-7.352260895×10^0,8.971743164×10^0,-5.745053101×10^-1
1.076605958×10^0,-7.611072693×10^0,9.319170685×10^0,-3.568579102×10^-1
1.086555958×10^0,-7.984995117×10^0,9.768985291×10^0,1.646575928×10^-2
1.096505958×10^0,-7.406897278×10^0,1.005399261×10^1,7.988887024×10^-1
1.106455958×10^0,-8.186176758×10^0,9.539063416×10^0,7.918533325×10^-1
1.116405958×10^0,-8.761729889×10^0,9.397158508×10^0,3.035687256×10^-1
1.126355958×10^0,-8.467142487×10^0,9.645791473×10^0,3.742218018×10^-1
1.136305958×10^0,-9.051826630×10^0,9.193432159×10^0,8.666976929×10^-2
1.146255958×10^0,-9.138945465×10^0,9.068891144×10^0,1.294807434×10^-1
1.156205958×10^0,-9.144483948×10^0,8.753946075×10^0,1.754351807×10^-1
1.166154958×10^0,-9.215137024×10^0,8.436306610×10^0,6.436614990×10^-2
1.176104958×10^0,-9.261390839×10^0,8.384364624×10^0,4.152365112×10^-1
1.186054958×10^0,-9.214687958×10^0,8.195008392×10^0,8.801696777×10^-1
1.196004958×10^0,-9.092392273×10^0,7.873626709×10^0,1.117875366×10^0
1.205954958×10^0,-8.930129700×10^0,7.572003937×10^0,1.363215179×10^0
1.215904958×10^0,-8.798852692×10^0,7.179220734×10^0,1.506467285×10^0
1.225855792×10^0,-8.621321869×10^0,6.775659943×10^0,1.392703857×10^0
1.235805792×10^0,-8.305179291×10^0,6.474635925×10^0,1.453627167×10^0
1.245755792×10^0,-8.085436249×10^0,6.006858673×10^0,1.842219086×10^0
1.255704792×10^0,-7.678133240×10^0,5.508245544×10^0,2.002386017×10^0
1.265654792×10^0,-7.291187897×10^0,5.230423279×10^0,1.989662476×10^0
1.275604792×10^0,-6.965165863×10^0,5.063819733×10^0,2.010169830×10^0
1.285554792×10^0,-6.699767761×10^0,4.870421906×10^0,2.032772827×10^0
1.295504792×10^0,-6.555467834×10^0,4.602479095×10^0,2.051034851×10^0
1.305454792×10^0,-6.277795258×10^0,4.484973450×10^0,2.194885712×10^0
1.315404792×10^0,-6.115981750×10^0,4.464615784×10^0,2.196382599×10^0
1.325354792×10^0,-6.036047974×10^0,4.590803375×10^0,2.473905487×10^0
1.335304792×10^0,-5.966592407×10^0,4.706063690×10^0,2.666704559×10^0
1.345253792×10^0,-5.801036682×10^0,4.876259766×10^0,2.521356812×10^0
1.355203792×10^0,-5.699248352×10^0,5.193300476×10^0,2.130220184×10^0
1.365153792×10^0,-5.376968536×10^0,5.659281464×10^0,1.692680054×10^0
1.375103792×10^0,-5.258265381×10^0,6.008954315×10^0,1.446591797×10^0
1.385053792×10^0,-5.232518921×10^0,6.110443268×10^0,8.405021667×10^-1
