"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.362828750×10^-1,-5.823340302×10^0,9.134604492×10^0,-1.113684082×10^-1
7.462328750×10^-1,-5.768554230×10^0,9.198371887×10^0,-2.706372070×10^-1
7.561828750×10^-1,-6.643634491×10^0,9.195527802×10^0,-7.467970276×10^-1
7.661328750×10^-1,-6.336772614×10^0,9.379046173×10^0,-1.327140198×10^0
7.760838750×10^-1,-6.459966431×10^0,9.349557495×10^0,-1.556313629×10^0
7.860338750×10^-1,-6.618037720×10^0,9.106612701×10^0,-1.315763855×10^0
7.959838750×10^-1,-6.706204376×10^0,8.852441254×10^0,-5.201683044×10^-1
8.059338750×10^-1,-6.946155396×10^0,8.526419220×10^0,-2.204914856×10^-1
8.158838750×10^-1,-7.117998047×10^0,8.554111633×10^0,-5.117857361×10^-1
8.258338750×10^-1,-7.291636963×10^0,8.695417786×10^0,-6.845265198×10^-1
8.357838750×10^-1,-7.588170319×10^0,8.568332062×10^0,-8.746311951×10^-1
8.457338750×10^-1,-7.683522034×10^0,8.288414154×10^0,-9.470805359×10^-1
8.556838750×10^-1,-7.803722076×10^0,7.923173676×10^0,-1.068927155×10^0
8.656338750×10^-1,-7.758067017×10^0,7.556136932×10^0,-9.060658264×10^-1
8.755838750×10^-1,-7.525001678×10^0,7.274273071×10^0,-1.121916962×10^0
8.855338750×10^-1,-7.312294006×10^0,7.231312408×10^0,-1.842518463×10^0
8.954838750×10^-1,-7.558382263×10^0,7.397317200×10^0,-1.953437805×10^-1
9.054338750×10^-1,-7.653883667×10^0,6.652017059×10^0,3.854484558×10^-1
9.153838750×10^-1,-8.056995392×10^0,6.029910736×10^0,6.352789307×10^-1
9.253348750×10^-1,-8.392298126×10^0,6.206244049×10^0,1.427431641×10^0
9.352848750×10^-1,-8.900790710×10^0,6.865024109×10^0,2.126328278×10^0
9.452348750×10^-1,-9.122928772×10^0,7.182064819×10^0,1.803749084×10^0
9.551848750×10^-1,-9.228159943×10^0,7.174879761×10^0,1.780846710×10^0
9.651348750×10^-1,-9.047485657×10^0,7.351213074×10^0,2.319875793×10^0
9.750848750×10^-1,-8.782237244×10^0,7.482789459×10^0,2.000290375×10^0
9.850348750×10^-1,-8.468339996×10^0,7.687413940×10^0,1.661844177×10^0
9.949848750×10^-1,-8.105195160×10^0,7.816146240×10^0,1.599723358×10^0
1.004934875×10^0,-7.766299896×10^0,7.620802460×10^0,1.179996185×10^0
1.014884875×10^0,-7.411537628×10^0,7.271878052×10^0,1.159189453×10^0
1.024834875×10^0,-7.140900421×10^0,6.784790955×10^0,1.183139648×10^0
1.034784875×10^0,-7.044949951×10^0,6.055058441×10^0,1.103355560×10^0
1.044734875×10^0,-7.207811279×10^0,5.377267914×10^0,1.010099487×10^0
1.054684875×10^0,-7.156767426×10^0,5.033432922×10^0,1.542093201×10^0
1.064634875×10^0,-6.631210327×10^0,5.156626740×10^0,2.313888245×10^0
1.074585875×10^0,-6.147566071×10^0,5.337600403×10^0,2.231110382×10^0
1.084535875×10^0,-6.102958832×10^0,5.125042419×10^0,9.392967224×10^-1
1.094485875×10^0,-6.084397430×10^0,5.190905457×10^0,8.126600647×10^-1
1.104435875×10^0,-6.070177002×10^0,5.048850861×10^0,1.366508331×10^0
1.114385875×10^0,-5.799689484×10^0,4.875810699×10^0,1.821262665×10^0
1.124335875×10^0,-5.361700287×10^0,5.110372925×10^0,9.515711975×10^-1
1.134285875×10^0,-5.180576935×10^0,5.510490875×10^0,5.304968262×10^-1
1.144235875×10^0,-5.286107483×10^0,5.603447571×10^0,1.178050232×10^-1
1.154185875×10^0,-3.239413605×10^0,6.138135681×10^0,-8.741821289×10^-1
1.164135875×10^0,-2.097438354×10^0,6.287375336×10^0,-1.822460175×10^0
1.174085875×10^0,-3.715423737×10^0,5.803282013×10^0,-1.782642975×10^0
1.184035875×10^0,-3.816313934×10^0,5.454956360×10^0,-1.279688873×10^0
1.193985875×10^0,-4.528832245×10^0,4.217180328×10^0,-1.508862305×10^0
1.203935875×10^0,-5.867797852×10^0,3.875590668×10^0,-4.584965515×10^-1
1.213885875×10^0,-7.307653656×10^0,4.583169250×10^0,-2.463876343×10^-1
1.223836875×10^0,-7.495513000×10^0,5.059029694×10^0,-2.853067017×10^-1
1.233786875×10^0,-7.934849396×10^0,5.185666351×10^0,5.788462830×10^-1
1.243736875×10^0,-8.640781403×10^0,5.016667786×10^0,-2.664459229×10^-2
1.253686875×10^0,-9.130562897×10^0,5.382057953×10^0,-1.285826111×10^-1
1.263636875×10^0,-8.775351563×10^0,6.004164276×10^0,4.643344116×10^-1
1.273586875×10^0,-8.481961670×10^0,6.085145874×10^0,7.484436035×10^-1
1.283536875×10^0,-8.587641907×10^0,5.370232544×10^0,1.628613281×10^-1
1.293486875×10^0,-8.747808838×10^0,4.276606750×10^0,-1.381626892×10^-1
1.303436875×10^0,-8.541238403×10^0,3.665577393×10^0,-3.861968994×10^-2
1.313386875×10^0,-8.287665710×10^0,3.435805206×10^0,-5.902226257×10^-1
1.323336875×10^0,-8.650062103×10^0,3.458557892×10^0,-3.652404785×10^-2
1.333286875×10^0,-8.821455688×10^0,3.931274872×10^0,7.777825928×10^-1
1.343236875×10^0,-9.208999786×10^0,4.434977417×10^0,6.322851562×10^-1
1.353186875×10^0,-9.531728668×10^0,4.715943146×10^0,1.381327515×10^0
1.363136875×10^0,-1.011626312×10^1,4.083508301×10^0,2.276016998×10^0
1.373086875×10^0,-1.093820389×10^1,3.170257416×10^0,2.495760040×10^0
1.383037875×10^0,-1.250364853×10^1,2.768642578×10^0,2.251018982×10^0
1.392987875×10^0,-1.301049454×10^1,1.938768311×10^0,1.469643860×10^0
1.402937875×10^0,-1.302516403×10^1,3.695814514×10^-1,1.745370483×10^-1
1.412887875×10^0,-8.442144470×10^0,5.432053986×10^0,-1.966909790×10^-1
1.422837875×10^0,-3.038231964×10^0,8.390202484×10^0,2.279759216×10^-1
1.432787875×10^0,-9.859996033×10^-1,7.815996552×10^0,2.481838989×10^-1
1.442737875×10^0,-6.587800598×10^-1,8.013435974×10^0,1.197509766×10^-1
1.452687875×10^0,-3.097059631×10^0,7.062313843×10^0,4.191284180×10^-2
1.462637875×10^0,-6.168821869×10^0,8.501870270×10^0,7.601193237×10^-1
1.472587875×10^0,-9.195677490×10^0,8.635242920×10^0,9.116043091×10^-2
1.482537875×10^0,-8.123606873×10^0,7.303761749×10^0,-1.914369049×10^0
1.492487875×10^0,-3.259920959×10^0,7.628885651×10^0,-5.097649384×10^0
1.502437875×10^0,-1.613644409×10^0,5.355113983×10^0,-5.414989471×10^0
1.512387875×10^0,4.114942932×10^-1,2.600841522×10^0,-3.019820251×10^0
1.522338875×10^0,2.850222931×10^0,3.602857819×10^0,-1.224453735×10^0
1.532288875×10^0,4.442012787×10^0,5.142556000×10^0,2.471360779×10^-1
1.542238875×10^0,3.498524780×10^0,1.245260468×10^0,-1.000818787×10^0
1.552188875×10^0,4.099824371×10^0,2.656974792×10^0,-2.011517029×10^0
1.562138875×10^0,7.713459778×10^0,2.495056503×10^1,-5.430557098×10^0
1.572088875×10^0,1.833088074×10^1,5.993042404×10^1,-1.037357803×10^1
1.582038875×10^0,2.106629242×10^1,5.276871689×10^1,-8.117769012×10^0
1.591988875×10^0,1.003183868×10^1,2.661196014×10^1,-2.558030548×10^0
1.601938875×10^0,5.589376831×10^0,1.456171875×10^1,2.310595093×10^0
1.611888875×10^0,2.766397247×10^0,9.030720520×10^0,5.513484650×10^0
1.621838875×10^0,1.448537750×10^0,7.135511627×10^0,8.419990540×10^0
1.631788875×10^0,2.028282166×10^-1,5.783523102×10^0,9.135652313×10^0
1.641738875×10^0,-7.864645386×10^-1,5.663173370×10^0,8.281079407×10^0
1.651688875×10^0,-9.346563721×10^-1,5.758225708×10^0,6.697372742×10^0
1.661639625×10^0,-1.676363983×10^0,5.389392700×10^0,4.335135040×10^0
