"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.966208325×10^-3,-3.400478668×10^0,2.983146515×10^0,8.757837982×10^0
1.291620833×10^-2,-3.308719482×10^0,3.198099518×10^0,8.788075104×10^0
2.286620832×10^-2,-3.223546600×10^0,3.285368042×10^0,8.647966461×10^0
3.281620833×10^-2,-3.273093567×10^0,3.211721191×10^0,8.361611938×10^0
4.276620832×10^-2,-3.348836060×10^0,3.282224579×10^0,7.990533600×10^0
5.271620833×10^-2,-3.242257690×10^0,3.445085907×10^0,7.780071259×10^0
6.266620832×10^-2,-3.186274109×10^0,3.557951202×10^0,7.701784058×10^0
7.261620833×10^-2,-3.124602356×10^0,3.560944977×10^0,7.713310089×10^0
8.256620832×10^-2,-3.085234222×10^0,3.532055054×10^0,7.676336975×10^0
9.251520832×10^-2,-2.661914520×10^0,3.577859802×10^0,7.545958099×10^0
1.024652083×10^-1,-2.212249603×10^0,3.253035278×10^0,7.617509308×10^0
1.124152083×10^-1,-2.065404968×10^0,3.168012085×10^0,7.924969940×10^0
1.223652083×10^-1,-2.079176331×10^0,3.276985474×10^0,8.561446381×10^0
1.323152083×10^-1,-2.101779327×10^0,3.201392670×10^0,8.956175537×10^0
1.422652083×10^-1,-1.976489868×10^0,3.109633484×10^0,8.842412109×10^0
1.522152083×10^-1,-1.533111877×10^0,3.447031860×10^0,8.583899689×10^0
1.621652083×10^-1,-1.096320190×10^0,3.612587585×10^0,8.298892365×10^0
1.721152083×10^-1,-1.316811676×10^0,3.573369141×10^0,8.103249207×10^0
1.820652083×10^-1,-1.754501495×10^0,3.563040619×10^0,7.586374054×10^0
1.920152083×10^-1,-2.054777069×10^0,3.597019958×10^0,6.927593994×10^0
2.019652083×10^-1,-2.342029724×10^0,3.666625214×10^0,6.424639893×10^0
2.119152083×10^-1,-2.529440002×10^0,3.576811981×10^0,6.231391754×10^0
2.218652083×10^-1,-2.991678772×10^0,3.558699646×10^0,6.268514557×10^0
2.318152083×10^-1,-3.514541473×10^0,3.842359772×10^0,6.282585297×10^0
2.417652083×10^-1,-3.867208099×10^0,4.099824371×10^0,6.045478363×10^0
2.517152083×10^-1,-4.135300598×10^0,4.265829163×10^0,5.922583923×10^0
2.616652083×10^-1,-4.575535126×10^0,4.672832794×10^0,5.856720886×10^0
2.716152083×10^-1,-4.984035645×10^0,5.084027710×10^0,6.195316772×10^0
2.815652083×10^-1,-4.918771362×10^0,4.363875275×10^0,7.481442261×10^0
2.915152083×10^-1,-4.011508026×10^0,3.375929718×10^0,1.011491592×10^1
3.014652083×10^-1,-2.956052856×10^0,3.018772430×10^0,1.115929413×10^1
3.114152083×10^-1,-2.881956940×10^0,3.652105408×10^0,8.807534637×10^0
3.213652083×10^-1,-3.274590454×10^0,3.984564056×10^0,7.486980743×10^0
3.313152083×10^-1,-4.412224731×10^0,3.980522461×10^0,6.912475433×10^0
3.412652083×10^-1,-5.820496216×10^0,3.973337402×10^0,6.329587555×10^0
3.512152083×10^-1,-6.244714050×10^0,4.066443787×10^0,5.272785187×10^0
3.611652083×10^-1,-6.192921753×10^0,3.901786194×10^0,4.296814728×10^0
3.711152083×10^-1,-7.628286896×10^0,4.063450012×10^0,4.916376343×10^0
3.810652083×10^-1,-7.362290039×10^0,4.251908112×10^0,6.149661713×10^0
3.910152083×10^-1,-6.565796356×10^0,4.610262909×10^0,7.398215332×10^0
4.009653750×10^-1,-5.906567230×10^0,4.444258118×10^0,7.152725830×10^0
4.109153750×10^-1,-5.525908813×10^0,4.771477661×10^0,6.789281616×10^0
4.208653750×10^-1,-5.373376007×10^0,5.100044403×10^0,7.508984985×10^0
4.308153750×10^-1,-6.366860046×10^0,4.841082916×10^0,6.963070221×10^0
4.407653750×10^-1,-7.619455261×10^0,4.661456451×10^0,6.680008850×10^0
4.507153750×10^-1,-7.814948730×10^0,4.948709106×10^0,6.205196228×10^0
4.606653750×10^-1,-7.468569031×10^0,5.445525970×10^0,5.799689484×10^0
4.706153750×10^-1,-7.371870117×10^0,5.840255127×10^0,6.170917511×10^0
4.805653750×10^-1,-7.918982391×10^0,6.223907318×10^0,5.429359589×10^0
4.905153750×10^-1,-8.782386932×10^0,6.159241791×10^0,4.083957367×10^0
5.004653750×10^-1,-9.036857758×10^0,5.799988861×10^0,3.849395142×10^0
5.104153750×10^-1,-8.648116150×10^0,5.666167145×10^0,4.030967560×10^0
5.203653750×10^-1,-7.693102112×10^0,6.335575104×10^0,4.167783051×10^0
5.303153750×10^-1,-6.890920258×10^0,6.819069672×10^0,4.236041107×10^0
5.402653750×10^-1,-6.467301178×10^0,7.300019531×10^0,3.441343689×10^0
5.502153750×10^-1,-6.409371643×10^0,7.683971100×10^0,1.929637299×10^0
5.601653750×10^-1,-6.531218262×10^0,7.807464294×10^0,1.165326691×10^0
5.701153750×10^-1,-6.794820099×10^0,7.630681915×10^0,8.774752808×10^-1
5.800653750×10^-1,-7.641010437×10^0,7.281308441×10^0,1.527872772×10^0
5.900153750×10^-1,-8.405770111×10^0,6.816524963×10^0,3.256178741×10^0
5.999653750×10^-1,-8.742569733×10^0,6.820117493×10^0,4.647535400×10^0
6.099153750×10^-1,-8.818611603×10^0,6.352489929×10^0,6.123765564×10^0
6.198653750×10^-1,-8.291407928×10^0,5.750142517×10^0,6.938072205×10^0
6.298153750×10^-1,-7.800877991×10^0,5.381608887×10^0,6.298901367×10^0
6.397653750×10^-1,-7.128775635×10^0,5.199587402×10^0,2.069446564×10^0
6.497153750×10^-1,-6.612050171×10^0,5.918542328×10^0,-8.713380432×10^-1
6.596653750×10^-1,-6.199058990×10^0,7.481292572×10^0,2.172731781×10^0
6.696153750×10^-1,-6.347849579×10^0,7.559430084×10^0,3.619922333×10^0
6.795653750×10^-1,-7.210056610×10^0,6.687792664×10^0,4.036955109×10^0
6.895153750×10^-1,-7.566914520×10^0,6.119424591×10^0,4.550986176×10^0
6.994653750×10^-1,-7.357350311×10^0,5.728886719×10^0,5.179678802×10^0
7.094153750×10^-1,-6.528224487×10^0,5.110522614×10^0,5.125042419×10^0
7.193653750×10^-1,-6.339167633×10^0,4.562362518×10^0,4.325105896×10^0
7.293153750×10^-1,-5.855523376×10^0,5.209616547×10^0,3.682641907×10^0
7.392653750×10^-1,-6.114784241×10^0,5.422922974×10^0,3.761378174×10^0
7.492153750×10^-1,-5.687872009×10^0,5.634433136×10^0,4.340673523×10^0
7.591653750×10^-1,-4.976102142×10^0,6.509214020×10^0,4.603377228×10^0
7.691153750×10^-1,-5.660628662×10^0,6.208339691×10^0,4.690945129×10^0
7.790653750×10^-1,-5.862708435×10^0,4.810097351×10^0,3.366649017×10^0
7.890143750×10^-1,-5.406008148×10^0,5.638175354×10^0,3.467988281×10^0
7.989653750×10^-1,-4.913232880×10^0,6.460565186×10^0,3.472179565×10^0
8.089143750×10^-1,-5.104235687×10^0,6.462062073×10^0,2.966830444×10^0
8.188643750×10^-1,-5.392386475×10^0,6.369704132×10^0,3.407514038×10^0
8.288143750×10^-1,-5.701493683×10^0,5.926475830×10^0,3.754193115×10^0
