"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758405612049276×10^9,"2025-09-21 00:00:12.049 UTC+02:00"
"PAUSE",2.558477624999068×10^1,1.758405637633935×10^9,"2025-09-21 00:00:37.634 UTC+02:00"
