"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.757277155343619×10^9,"2025-09-07 22:32:35.344 UTC+02:00"
"PAUSE",1.859087379166158×10^1,1.757277173934490×10^9,"2025-09-07 22:32:53.934 UTC+02:00"
