"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.657055000×10^-1,2.002236328×10^0,6.235583038×10^0,8.308921509×10^0
7.756545000×10^-1,1.755399628×10^0,6.210585022×10^0,8.416248322×10^0
7.856045000×10^-1,1.722019043×10^0,6.115083618×10^0,8.522377625×10^0
7.955545000×10^-1,1.646575928×10^0,6.165528717×10^0,8.430468750×10^0
8.055035000×10^-1,1.715432739×10^0,6.292464752×10^0,8.419092407×10^0
8.154535000×10^-1,1.389710083×10^0,5.737568665×10^0,8.315358124×10^0
8.254035000×10^-1,1.444795532×10^0,5.435796204×10^0,8.064629517×10^0
8.353525000×10^-1,2.093247070×10^0,5.769452362×10^0,8.293952637×10^0
8.453025000×10^-1,2.320773926×10^0,6.226152649×10^0,8.899593201×10^0
8.552525000×10^-1,2.529440002×10^0,6.584357758×10^0,9.165889435×10^0
8.652025000×10^-1,2.468666382×10^0,6.493646393×10^0,9.354646912×10^0
8.751515000×10^-1,2.397863617×10^0,6.340065765×10^0,9.629625092×10^0
8.851015000×10^-1,2.446063385×10^0,6.359525299×10^0,1.026490402×10^1
8.950515000×10^-1,2.426005096×10^0,6.387367401×10^0,1.088132217×10^1
9.050005000×10^-1,2.576741638×10^0,6.331383820×10^0,1.109268265×10^1
9.149505000×10^-1,2.469863892×10^0,5.949827271×10^0,1.129610962×10^1
9.249005000×10^-1,2.277214508×10^0,5.672603760×10^0,1.152528305×10^1
9.348505000×10^-1,2.112706604×10^0,5.553601227×10^0,1.149414780×10^1
9.447995000×10^-1,2.017205200×10^0,5.353766785×10^0,1.112815887×10^1
9.547495000×10^-1,1.948647766×10^0,5.134772186×10^0,1.034378998×10^1
9.646995000×10^-1,1.489103394×10^0,4.870122528×10^0,9.323212280×10^0
9.746485000×10^-1,1.168021088×10^0,4.425846405×10^0,8.519084473×10^0
9.845985000×10^-1,7.694000244×10^-1,4.315525818×10^0,8.213270416×10^0
9.945485000×10^-1,3.706292725×10^-1,4.540208588×10^0,8.116721191×10^0
1.004497500×10^0,3.475772095×10^-1,4.705764313×10^0,7.771688690×10^0
1.014447500×10^0,3.442840576×10^-1,4.546495514×10^0,7.489525452×10^0
1.024397500×10^0,4.037104797×10^-1,4.191284180×10^0,7.284451904×10^0
1.034347500×10^0,4.111949158×10^-1,3.876039734×10^0,7.076085205×10^0
1.044296500×10^0,4.255650330×10^-1,3.650159454×10^0,6.873556366×10^0
1.054246500×10^0,4.707710266×10^-1,3.528013458×10^0,6.471791840×10^0
1.064196500×10^0,1.675016785×10^-1,3.418890381×10^0,5.868396606×10^0
1.074145500×10^0,1.628613281×10^-1,3.120710449×10^0,5.643564148×10^0
1.084095500×10^0,4.796026611×10^-1,3.028502197×10^0,5.567522278×10^0
1.094045500×10^0,6.494993591×10^-1,3.702101440×10^0,5.474415894×10^0
1.103994917×10^0,6.243516541×10^-1,4.018094330×10^0,5.902525635×10^0
1.113944917×10^0,1.179846497×10^0,4.284540253×10^0,6.056854706×10^0
1.123894917×10^0,1.311422882×10^0,4.512665863×10^0,6.189029846×10^0
