"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.040749988×10^-3,-2.051441669×10^-1,1.733362526×10^-1,1.617221981×10^-1
1.699074999×10^-2,-1.403552890×10^-1,1.569828689×10^-1,1.778111458×10^-1
2.694074999×10^-2,-5.670539662×10^-2,1.565096229×10^-1,1.929240525×10^-1
3.688975000×10^-2,1.624297909×10^-2,1.871650666×10^-1,2.052193433×10^-1
4.683974999×10^-2,4.627384618×10^-2,2.277372628×10^-1,2.257150263×10^-1
5.678975000×10^-2,1.903340593×10^-2,2.976612151×10^-1,2.499830872×10^-1
6.673875000×10^-2,-6.335042417×10^-2,4.023508728×10^-1,2.813335359×10^-1
7.668874999×10^-2,-1.847521663×10^-1,5.183784366×10^-1,3.092319965×10^-1
8.663875000×10^-2,-3.222732842×10^-1,6.217780709×10^-1,3.227528632×10^-1
9.658874999×10^-2,-4.437501729×10^-1,6.848118901×10^-1,3.258754313×10^-1
1.065375000×10^-1,-5.399794579×10^-1,7.208910584×10^-1,3.252535760×10^-1
1.164875000×10^-1,-6.076501608×10^-1,7.557972670×10^-1,3.238924444×10^-1
1.264375000×10^-1,-6.495688558×10^-1,7.835918665×10^-1,3.089963198×10^-1
1.363865000×10^-1,-6.624304056×10^-1,7.925649285×10^-1,2.667045295×10^-1
1.463365000×10^-1,-6.562484503×10^-1,7.860487103×10^-1,2.133688629×10^-1
1.562865000×10^-1,-6.260507107×10^-1,7.567632198×10^-1,1.347361058×10^-1
1.662355000×10^-1,-5.750586390×10^-1,7.005103230×10^-1,6.310000271×10^-2
1.761855000×10^-1,-5.099758506×10^-1,6.155966520×10^-1,-8.056522347×10^-5
1.861355000×10^-1,-4.428157508×10^-1,5.187082291×10^-1,-5.611267686×10^-2
1.960855000×10^-1,-3.976489007×10^-1,4.619664550×10^-1,-1.078482941×10^-1
2.060345000×10^-1,-3.745888472×10^-1,4.612455368×10^-1,-1.585468948×10^-1
2.159845000×10^-1,-3.735122681×10^-1,4.859143496×10^-1,-2.129491419×10^-1
2.259345000×10^-1,-3.948103786×10^-1,5.449115634×10^-1,-2.552286983×10^-1
2.358835000×10^-1,-4.312523007×10^-1,6.249121428×10^-1,-2.717363238×10^-1
2.458335000×10^-1,-4.723621905×10^-1,7.027957439×10^-1,-2.847248018×10^-1
2.557835000×10^-1,-5.130016804×10^-1,7.567688823×10^-1,-2.993812561×10^-1
2.657325000×10^-1,-5.327575207×10^-1,7.782355547×10^-1,-3.065936267×10^-1
2.756825000×10^-1,-5.221115947×10^-1,7.715730071×10^-1,-3.061227798×10^-1
2.856325000×10^-1,-4.960464239×10^-1,7.190636992×10^-1,-2.835596800×10^-1
2.955825000×10^-1,-4.634315372×10^-1,6.407181025×10^-1,-2.504981160×10^-1
3.055315000×10^-1,-4.339908361×10^-1,5.294019580×10^-1,-2.256873250×10^-1
3.154815000×10^-1,-4.240163565×10^-1,4.057720006×10^-1,-2.108926475×10^-1
3.254315000×10^-1,-4.418108165×10^-1,3.121834695×10^-1,-1.954985112×10^-1
3.353805000×10^-1,-4.948567450×10^-1,2.811816037×10^-1,-1.528014094×10^-1
3.453305000×10^-1,-5.686929226×10^-1,3.315076232×10^-1,-8.082334697×10^-2
3.552805000×10^-1,-6.419916749×10^-1,4.288628995×10^-1,1.673920546×10^-3
3.652305000×10^-1,-6.854624748×10^-1,5.182723999×10^-1,6.897573173×10^-2
3.751795000×10^-1,-6.868499517×10^-1,5.917224288×10^-1,1.077276543×10^-1
3.851295000×10^-1,-6.513076425×10^-1,6.395064592×10^-1,1.293527931×10^-1
3.950795000×10^-1,-5.755199194×10^-1,6.514315605×10^-1,1.254043877×10^-1
4.050285000×10^-1,-4.645028412×10^-1,5.851742625×10^-1,1.044620872×10^-1
4.149785000×10^-1,-3.271501362×10^-1,4.575255513×10^-1,7.682967186×10^-2
4.249285000×10^-1,-1.856694371×10^-1,2.611182332×10^-1,5.296082422×10^-2
4.348775000×10^-1,-5.589626357×10^-2,5.965501070×10^-2,2.762908861×10^-2
4.448275000×10^-1,3.869974986×10^-2,-1.011194885×10^-1,-1.518282294×10^-2
4.547775000×10^-1,8.140633255×10^-2,-2.156687677×10^-1,-4.848537967×10^-2
4.647275000×10^-1,4.536098242×10^-2,-2.520581782×10^-1,-6.817199290×10^-2
4.746765000×10^-1,-7.605176419×10^-2,-1.922807842×10^-1,-7.637906075×10^-2
4.846265000×10^-1,-2.641505599×10^-1,-5.599537119×10^-2,-7.381709665×10^-2
4.945765000×10^-1,-4.853532612×10^-1,1.262161136×10^-1,-6.466301531×10^-2
