"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.140625002×10^-3,3.263214111×10^-1,-2.604583740×10^-2,8.939560089×10^0
1.209062500×10^-2,3.658392334×10^-1,-2.315684509×10^-1,9.616751862×10^0
2.204062500×10^-2,2.661465454×10^-1,-2.803669739×10^-1,1.029918274×10^1
3.199062500×10^-2,2.116598511×10^-1,-1.767823792×10^-1,1.029169830×10^1
4.194062500×10^-2,1.902543640×10^-1,-1.848655701×10^-1,9.820777588×10^0
5.189062500×10^-2,2.511776733×10^-1,-1.803749084×10^-1,9.617949371×10^0
6.184062500×10^-2,3.129991150×10^-1,-1.664538574×10^-1,9.675130463×10^0
7.179062500×10^-2,3.546125793×10^-1,-2.207908630×10^-1,9.773625641×10^0
8.173962500×10^-2,2.760260010×10^-1,-2.218386841×10^-1,9.839189301×10^0
9.168962500×10^-2,2.460882568×10^-1,-1.754351807×10^-1,9.855505371×10^0
1.016396250×10^-1,2.674937439×10^-1,-1.983375549×10^-1,9.876761169×10^0
1.115896250×10^-1,2.932402039×10^-1,-1.977388000×10^-1,9.889933777×10^0
1.215396250×10^-1,2.947370911×10^-1,-1.989363098×10^-1,9.833650818×10^0
1.314896250×10^-1,2.725831604×10^-1,-1.865121460×10^-1,9.767937469×10^0
1.414396250×10^-1,2.552192688×10^-1,-1.862127686×10^-1,9.797276459×10^0
1.513896250×10^-1,2.772235107×10^-1,-2.058219910×10^-1,9.886341248×10^0
1.613396250×10^-1,2.923420715×10^-1,-2.168989563×10^-1,9.892029419×10^0
1.712896250×10^-1,2.751278687×10^-1,-2.094145203×10^-1,9.812095642×10^0
1.812386250×10^-1,2.728825378×10^-1,-1.984872437×10^-1,9.797725525×10^0
1.911886250×10^-1,2.806663513×10^-1,-1.901046753×10^-1,9.841883698×10^0
2.011386250×10^-1,2.764750671×10^-1,-2.019300842×10^-1,9.893825684×10^0
2.110886250×10^-1,2.613565063×10^-1,-1.996847534×10^-1,9.888736267×10^0
2.210386250×10^-1,2.814147949×10^-1,-1.933978271×10^-1,9.807904358×10^0
2.309886250×10^-1,2.905458069×10^-1,-1.725910950×10^-1,9.772128754×10^0
2.409386250×10^-1,2.709365845×10^-1,-2.065704346×10^-1,9.811945953×10^0
2.508886250×10^-1,2.701881409×10^-1,-2.360591125×10^-1,9.834249573×10^0
2.608386250×10^-1,2.880010986×10^-1,-1.886077881×10^-1,9.822723541×10^0
2.707886250×10^-1,2.998265076×10^-1,-1.860630798×10^-1,9.804910583×10^0
2.807376250×10^-1,2.523751831×10^-1,-2.101629639×10^-1,9.821526031×10^0
2.906876250×10^-1,2.160008240×10^-1,-1.953437805×10^-1,9.867779846×10^0
3.006376250×10^-1,2.752775574×10^-1,-1.761836243×10^-1,9.865833893×10^0
3.105876250×10^-1,2.254312134×10^-1,-1.948947144×10^-1,9.864636383×10^0
3.205376250×10^-1,2.760260010×10^-1,-1.571731567×10^-1,9.699230347×10^0
3.304876250×10^-1,2.344125366×10^-1,-1.516346741×10^-1,9.652677155×10^0
3.404376250×10^-1,1.549278259×10^-1,-1.426533508×10^-1,9.670789490×10^0
3.503876250×10^-1,2.401007080×10^-1,-1.607656860×10^-1,9.664951630×10^0
3.603376250×10^-1,2.239343262×10^-1,-1.032852173×10^-1,9.643845520×10^0
3.702866250×10^-1,1.709445190×10^-1,-1.657054138×10^-1,9.768835602×10^0
3.802366250×10^-1,9.086105347×10^-2,-2.975811768×10^-1,9.827064514×10^0
3.901866250×10^-1,2.859054565×10^-1,-3.034190369×10^-1,9.871671753×10^0
4.001366250×10^-1,2.817141724×10^-1,-2.745291138×10^-1,9.903854828×10^0
4.100866250×10^-1,8.367599487×10^-2,-2.454895020×10^-1,9.868528290×10^0
4.200366250×10^-1,8.936416626×10^-2,-2.659968567×10^-1,9.857601013×10^0
4.299866250×10^-1,-6.002517700×10^-2,-3.278182983×10^-1,9.837243347×10^0
4.399366250×10^-1,-1.865121460×10^-1,-2.987786865×10^-1,9.828711090×10^0
4.498866250×10^-1,-2.523751831×10^-1,-1.932481384×10^-1,9.793234863×10^0
4.598366250×10^-1,-2.562670898×10^-1,-2.086660767×10^-1,9.694440308×10^0
4.697856250×10^-1,-1.466949463×10^-1,-3.118016052×10^-1,9.279353485×10^0
4.797356250×10^-1,-2.327659607×10^-1,-3.363505554×10^-1,8.831185455×10^0
4.896856250×10^-1,-3.996688843×10^-1,-2.845582581×10^-1,9.038654022×10^0
4.996356250×10^-1,-7.259902954×10^-2,-3.290158081×10^-1,1.010803024×10^1
5.095856250×10^-1,2.854563904×10^-1,-6.298901367×10^-1,1.165805695×10^1
5.195356250×10^-1,4.565505981×10^-1,-6.589297485×10^-1,1.169847290×10^1
5.294856250×10^-1,-1.496887207×10^-4,-3.561094666×10^-1,1.077189972×10^1
5.394356250×10^-1,-1.847158813×10^-1,-2.815644836×10^-1,1.049033524×10^1
5.493856250×10^-1,1.125659180×10^-1,-3.685336304×10^-1,1.060784088×10^1
5.593356250×10^-1,1.315763855×10^-1,-4.385879517×10^-1,1.091245743×10^1
5.692846250×10^-1,-3.592529297×10^-1,-5.134323120×10^-1,1.127665009×10^1
5.792346250×10^-1,-3.185375977×10^-1,-4.834945679×10^-1,1.152333710×10^1
5.891846250×10^-1,-4.834945679×10^-2,-4.821473694×10^-1,1.168021088×10^1
5.991346250×10^-1,-9.101074219×10^-1,-5.072950745×10^-1,1.164488434×10^1
6.090846250×10^-1,-1.303489380×10^0,-4.791535950×10^-1,1.126108246×10^1
6.190346250×10^-1,-1.554667053×10^0,-3.478765869×10^-1,1.108100693×10^1
6.289846250×10^-1,-2.206561432×10^0,-4.697232056×10^-1,1.129356491×10^1
6.389346250×10^-1,-2.750530243×10^0,-5.936654663×10^-1,1.131811386×10^1
6.488846250×10^-1,-3.528013458×10^0,-5.068460083×10^-1,1.104044128×10^1
6.588336250×10^-1,-4.269721069×10^0,-4.031117249×10^-1,1.100047440×10^1
6.687836250×10^-1,-4.134701843×10^0,-4.376898193×10^-1,1.165132095×10^1
6.787336250×10^-1,-3.530558167×10^0,-6.186634827×10^-1,1.213765961×10^1
6.886836250×10^-1,-3.000360718×10^0,-8.795709229×10^-1,1.224693237×10^1
6.986336250×10^-1,-3.217559052×10^0,-1.303489380×10^0,1.225561432×10^1
7.085836250×10^-1,-4.058510284×10^0,-1.606159973×10^0,1.207029968×10^1
7.185336250×10^-1,-4.391417999×10^0,-1.550625458×10^0,1.189950485×10^1
7.284836250×10^-1,-4.695884857×10^0,-1.192570038×10^0,1.132544861×10^1
7.384336250×10^-1,-5.295388184×10^0,-6.307882690×10^-1,1.040156982×10^1
7.483836250×10^-1,-6.124663696×10^0,-3.332070923×10^-1,9.546398163×10^0
7.583326250×10^-1,-5.926924896×10^0,-6.616241455×10^-2,9.483977966×10^0
7.682826250×10^-1,-3.140020294×10^0,8.396040344×10^-1,1.106409210×10^1
7.782326250×10^-1,-5.709127808×10^-1,1.764979706×10^0,1.187256088×10^1
7.881826250×10^-1,-6.812333679×10^-1,2.532134399×10^0,1.109193420×10^1
7.981326250×10^-1,-2.974913635×10^0,3.248544617×10^0,9.384135590×10^0
8.080826250×10^-1,-5.507796478×10^0,3.638932800×10^0,8.093369751×10^0
8.180326250×10^-1,-7.563771057×10^0,3.611689453×10^0,7.729476471×10^0
8.279828750×10^-1,-8.507857819×10^0,3.382516022×10^0,7.576644287×10^0
8.379328750×10^-1,-8.530610504×10^0,3.042872314×10^0,7.994575195×10^0
8.478828750×10^-1,-7.860005035×10^0,2.987337799×10^0,8.526718597×10^0
8.578318750×10^-1,-6.896009674×10^0,3.480262756×10^0,8.131690063×10^0
8.677818750×10^-1,-6.340215454×10^0,4.247567139×10^0,7.071444855×10^0
8.777318750×10^-1,-6.242319031×10^0,5.026247864×10^0,6.747817841×10^0
8.876818750×10^-1,-6.734345856×10^0,5.685327301×10^0,6.694528656×10^0
8.976318750×10^-1,-7.129524078×10^0,6.471642151×10^0,6.084098053×10^0
9.075818750×10^-1,-6.426735535×10^0,7.080276489×10^0,5.437442780×10^0
9.175318750×10^-1,-6.133645020×10^0,7.194788361×10^0,5.313350830×10^0
9.274818750×10^-1,-6.427034912×10^0,7.087760925×10^0,5.909111938×10^0
9.374318750×10^-1,-6.834337921×10^0,6.864874420×10^0,6.166277161×10^0
9.473818750×10^-1,-7.624245300×10^0,6.651717682×10^0,5.618865509×10^0
9.573308750×10^-1,-8.044421539×10^0,6.719526672×10^0,5.204227753×10^0
9.672808750×10^-1,-8.373886414×10^0,7.067403259×10^0,4.875361633×10^0
9.772308750×10^-1,-8.610244904×10^0,7.411238251×10^0,4.180057526×10^0
9.871808750×10^-1,-8.450077972×10^0,7.547904053×10^0,4.163442078×10^0
9.971308750×10^-1,-8.225095825×10^0,7.201674042×10^0,4.843777313×10^0
1.007080875×10^0,-8.045469360×10^0,6.731052704×10^0,4.908592529×10^0
1.017030875×10^0,-7.978259125×10^0,6.449039154×10^0,3.847449188×10^0
1.026980875×10^0,-7.706873474×10^0,6.403833160×10^0,3.355721741×10^0
1.036930875×10^0,-7.774832153×10^0,6.306834869×10^0,3.389401703×10^0
1.046880875×10^0,-7.842641144×10^0,5.976771240×10^0,3.101999359×10^0
1.056829875×10^0,-7.776478729×10^0,5.478008423×10^0,3.121907959×10^0
1.066779875×10^0,-7.264692993×10^0,4.991819458×10^0,3.386707306×10^0
1.076729875×10^0,-7.138804779×10^0,5.329068146×10^0,2.815944214×10^0
1.086679875×10^0,-7.731272736×10^0,6.493496704×10^0,1.511257324×10^0
1.096629875×10^0,-8.124654694×10^0,7.406298523×10^0,-1.041833496×10^-1
1.106579875×10^0,-7.864495697×10^0,7.930658112×10^0,-6.237528992×10^-1
1.116529875×10^0,-6.717281342×10^0,8.213569794×10^0,7.405101013×10^-1
1.126479875×10^0,-5.994135132×10^0,8.032296753×10^0,1.631307678×10^0
1.136429875×10^0,-5.528752899×10^0,7.783963165×10^0,1.636247406×10^0
1.146379875×10^0,-4.927153931×10^0,7.546257477×10^0,1.581461334×10^0
1.156328875×10^0,-5.312901764×10^0,7.296127625×10^0,1.115480347×10^0
1.166278875×10^0,-6.226452026×10^0,7.250622253×10^0,2.767744446×10^-1
