"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758475200072969×10^9,"2025-09-21 19:20:00.073 UTC+02:00"
"PAUSE",2.625333366666564×10^1,1.758475226326193×10^9,"2025-09-21 19:20:26.326 UTC+02:00"
