"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758369451807502×10^9,"2025-09-20 13:57:31.808 UTC+02:00"
"PAUSE",2.594053158333554×10^1,1.758369477747971×10^9,"2025-09-20 13:57:57.748 UTC+02:00"
