"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758529131316653×10^9,"2025-09-22 10:18:51.317 UTC+02:00"
"PAUSE",2.746842537499833×10^1,1.758529158784929×10^9,"2025-09-22 10:19:18.785 UTC+02:00"
