"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758405773773546×10^9,"2025-09-21 00:02:53.774 UTC+02:00"
"PAUSE",2.643191170833597×10^1,1.758405800208601×10^9,"2025-09-21 00:03:20.209 UTC+02:00"
