"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758475078555044×10^9,"2025-09-21 19:17:58.555 UTC+02:00"
"PAUSE",3.188559733333204×10^1,1.758475110440507×10^9,"2025-09-21 19:18:30.441 UTC+02:00"
