"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.843124999×10^-3,-2.250719604×10^0,2.249372406×10^0,9.368268585×10^0
1.179312500×10^-2,-1.944456482×10^0,2.114652557×10^0,9.078171844×10^0
2.174212500×10^-2,-1.754800873×10^0,2.113604736×10^0,9.097182312×10^0
3.169112500×10^-2,-1.709894257×10^0,2.185006256×10^0,9.144633636×10^0
4.164112500×10^-2,-1.697919159×10^0,2.347717896×10^0,9.353449402×10^0
5.159012500×10^-2,-1.892215118×10^0,2.496059418×10^0,9.522897034×10^0
6.153912500×10^-2,-1.717977448×10^0,2.491868134×10^0,9.539512482×10^0
7.148812500×10^-2,-1.765578461×10^0,2.105222168×10^0,9.477391663×10^0
8.143812500×10^-2,-2.193089447×10^0,1.407223663×10^0,9.408983917×10^0
9.138712500×10^-2,-1.354682922×10^0,1.853445740×10^0,9.155261536×10^0
1.013361250×10^-1,-1.334175568×10^0,2.277663574×10^0,9.292077026×10^0
1.112861250×10^-1,-1.392105103×10^0,2.493365021×10^0,9.287286987×10^0
1.212351250×10^-1,-1.305884399×10^0,2.803669739×10^0,9.340576172×10^0
1.311841250×10^-1,-1.049317932×10^0,2.946472778×10^0,9.447004852×10^0
1.411331250×10^-1,-7.399113464×10^-1,2.761607208×10^0,9.657467194×10^0
1.510831250×10^-1,-5.412744141×10^-1,2.587818604×10^0,9.958491211×10^0
1.610321250×10^-1,-3.341052246×10^-1,2.510279846×10^0,1.003737717×10^1
1.709811250×10^-1,-2.233355713×10^-1,2.586770782×10^0,1.004126907×10^1
1.809311250×10^-1,-6.206094360×10^-1,2.674338684×10^0,1.000040405×10^1
1.908801250×10^-1,-1.145418091×10^0,2.507585449×10^0,9.665101318×10^0
2.008291250×10^-1,-1.358724518×10^0,2.055525513×10^0,9.494755554×10^0
2.107781250×10^-1,-1.877545624×10^0,1.905537415×10^0,9.546996918×10^0
2.207281250×10^-1,-2.216889954×10^0,2.038760376×10^0,9.799222412×10^0
