"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.818124999×10^-3,2.150481567×10^-3,1.521759331×10^-1,3.041782975×10^-2
1.676712500×10^-2,-3.338577691×10^-3,-4.599096999×10^-2,6.611419842×10^-3
2.671712500×10^-2,-5.326095037×10^-3,-2.096480727×10^-1,-1.691654325×10^-2
3.666612500×10^-2,2.886864357×10^-3,-2.945090830×10^-1,-3.803295270×10^-2
4.661512500×10^-2,1.548521407×10^-2,-2.696071863×10^-1,-4.786907509×10^-2
5.656412500×10^-2,3.359831870×10^-2,-2.350229174×10^-1,-7.007557154×10^-2
6.651412500×10^-2,3.525693342×10^-2,-1.598235071×10^-1,-9.033583105×10^-2
7.646312500×10^-2,2.187613025×10^-2,-4.130865261×10^-2,-1.005825475×10^-1
8.641212500×10^-2,-1.530026924×10^-2,-1.572634876×10^-1,-1.611191332×10^-1
9.636212500×10^-2,-1.805115305×10^-2,-3.805831373×10^-1,-2.017329484×10^-1
1.063111250×10^-1,-1.649187133×10^-2,-5.742026567×10^-1,-2.416390777×10^-1
1.162601250×10^-1,8.002588875×10^-4,-6.937941909×10^-1,-2.781935334×10^-1
1.262101250×10^-1,8.932754397×10^-3,-7.435316443×10^-1,-3.315094709×10^-1
1.361591250×10^-1,2.210257761×10^-2,-7.424276471×10^-1,-4.004483819×10^-1
1.461081250×10^-1,5.450100079×10^-2,-7.072270513×10^-1,-4.830647111×10^-1
1.560571250×10^-1,8.967424184×10^-2,-6.036636829×10^-1,-5.839903951×10^-1
1.660071250×10^-1,1.249976084×10^-1,-4.215292931×10^-1,-6.810703278×10^-1
1.759561250×10^-1,1.561706662×10^-1,-2.430323213×10^-1,-7.307939529×10^-1
1.859051250×10^-1,1.615017802×10^-1,-1.077192351×10^-1,-7.441811562×10^-1
1.958541250×10^-1,1.667207479×10^-1,-6.390243024×10^-2,-7.499132156×10^-1
2.058041250×10^-1,1.826416552×10^-1,-1.366123259×10^-1,-7.168967128×10^-1
2.157531250×10^-1,2.162637860×10^-1,-2.029205263×10^-1,-6.728827953×10^-1
2.257021250×10^-1,2.821663618×10^-1,-1.792524904×10^-1,-6.338201165×10^-1
2.356521250×10^-1,3.278300464×10^-1,-8.792974986×10^-3,-5.641658902×10^-1
2.456011250×10^-1,3.048839867×10^-1,2.503578961×10^-1,-4.930957258×10^-1
2.555501250×10^-1,2.408491671×10^-1,4.541952014×10^-1,-4.014070928×10^-1
2.654991250×10^-1,1.931934953×10^-1,5.526464581×10^-1,-3.254324496×10^-1
2.754491250×10^-1,2.513214350×10^-1,7.096049190×10^-1,-2.841815948×10^-1
2.853981250×10^-1,3.005382419×10^-1,9.213454127×10^-1,-2.644499540×10^-1
2.953465833×10^-1,3.603975475×10^-1,1.130706191×10^0,-2.312061340×10^-1
3.052965833×10^-1,3.027582169×10^-1,1.366534114×10^0,-1.923239827×10^-1
3.152455833×10^-1,1.528264433×10^-1,1.514094114×10^0,-1.002406627×10^-1
3.251945833×10^-1,7.562460005×10^-2,1.443902850×10^0,1.917507201×10^-1
3.351445833×10^-1,1.719111111×10^-3,1.155394793×10^0,6.569496393×10^-1
3.450935833×10^-1,-8.861531317×10^-2,7.152056694×10^-1,1.072492361×10^0
3.550425833×10^-1,-2.033932805×10^-1,2.993265092×10^-1,1.122106314×10^0
3.649915833×10^-1,-2.654957771×10^-1,-1.116961911×10^-1,8.419836760×10^-1
3.749415833×10^-1,-3.070243895×10^-1,-6.694717407×10^-1,7.060683966×10^-1
3.848905833×10^-1,-3.826975822×10^-1,-1.038405180×10^0,6.419874430×10^-1
3.948395833×10^-1,-4.290303886×10^-1,-1.237557411×10^0,5.573052168×10^-1
4.047885833×10^-1,-4.667775035×10^-1,-1.176591754×10^0,4.367641211×10^-1
4.147385833×10^-1,-6.149803996×10^-1,-8.831068277×10^-1,2.781081200×10^-1
4.246875833×10^-1,-7.811939120×10^-1,-6.606361866×10^-1,1.477567703×10^-1
4.346365833×10^-1,-9.156724811×10^-1,-6.968422532×10^-1,9.680675715×10^-2
4.445865833×10^-1,-1.029259562×10^0,-9.835139513×10^-1,8.023817092×10^-2
4.545355833×10^-1,-9.493203163×10^-1,-1.348478913×10^0,5.188708380×10^-2
4.644845833×10^-1,-9.335368276×10^-1,-1.561029077×10^0,-9.893459268×10^-3
4.744335833×10^-1,-9.814870358×10^-1,-1.609587789×10^0,-9.210121632×10^-2
4.843835833×10^-1,-1.014348865×10^0,-1.625588059×10^0,-1.820334941×10^-1
4.943325833×10^-1,-9.673941135×10^-1,-1.544324517×10^0,-2.682241797×10^-1
5.042815833×10^-1,-8.523091078×10^-1,-1.259876251×10^0,-3.350192010×10^-1
5.142315833×10^-1,-6.871132851×10^-1,-7.979282141×10^-1,-3.696038127×10^-1
5.241805833×10^-1,-5.080633759×10^-1,-2.619547844×10^-1,-3.841569126×10^-1
5.341295833×10^-1,-3.626754284×10^-1,1.495303661×10^-1,-3.607317805×10^-1
5.440785833×10^-1,-2.568264902×10^-1,3.762977421×10^-1,-3.138068914×10^-1
5.540285833×10^-1,-2.069916874×10^-1,4.431841969×10^-1,-2.608863711×10^-1
5.639775833×10^-1,-1.993835717×10^-1,3.728101850×10^-1,-2.071698904×10^-1
5.739265833×10^-1,-1.736693382×10^-1,2.211133242×10^-1,-1.442476809×10^-1
5.838765833×10^-1,-1.045882776×10^-1,8.520609140×10^-2,-1.048680469×10^-1
5.938255833×10^-1,-6.816297770×10^-3,1.277383603×10^-2,-4.300556332×10^-2
6.037745833×10^-1,1.102264374×10^-1,-9.831075557×10^-3,2.332259715×10^-2
6.137235833×10^-1,1.876998693×10^-1,3.553390503×10^-2,1.240528524×10^-1
6.236735833×10^-1,2.169456482×10^-1,8.492621779×10^-2,2.553011775×10^-1
