"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758474981471491×10^9,"2025-09-21 19:16:21.471 UTC+02:00"
"PAUSE",2.406725308333262×10^1,1.758475005538644×10^9,"2025-09-21 19:16:45.539 UTC+02:00"
