"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758528492698655×10^9,"2025-09-22 10:08:12.699 UTC+02:00"
"PAUSE",3.324998995833448×10^1,1.758528525948464×10^9,"2025-09-22 10:08:45.948 UTC+02:00"
