"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.637916667×10^-3,-8.838570677×10^-3,8.598060161×10^-2,4.690145142×10^-4
1.658891667×10^-2,-2.158031054×10^-2,1.215118021×10^-1,8.382709697×10^-3
2.653891666×10^-2,-3.266039118×10^-2,1.492891014×10^-1,1.606406458×10^-2
3.648891667×10^-2,-4.697304219×10^-2,1.820611358×10^-1,1.860132068×10^-2
4.643891666×10^-2,-6.069631130×10^-2,2.309850007×10^-1,1.370563172×10^-2
5.638891667×10^-2,-8.186945319×10^-2,2.892870009×10^-1,-1.843954786×10^-3
6.633991667×10^-2,-1.076163575×10^-1,3.326049149×10^-1,-2.896505408×10^-2
7.628991666×10^-2,-1.283074021×10^-1,3.643042147×10^-1,-5.001315102×10^-2
8.623991667×10^-2,-1.333748549×10^-1,3.672608733×10^-1,-5.107815191×10^-2
9.618991666×10^-2,-1.201782674×10^-1,3.552048802×10^-1,-3.285365552×10^-2
1.061399167×10^-1,-9.538077563×10^-2,3.444528878×10^-1,-1.834448799×10^-2
1.160899167×10^-1,-7.136127353×10^-2,2.999782860×10^-1,-9.314317256×10^-3
1.260409167×10^-1,-4.702797160×10^-2,2.324277312×10^-1,-3.574139439×10^-3
1.359909167×10^-1,-6.650182605×10^-2,7.815156877×10^-2,-1.463758480×10^-2
1.459409167×10^-1,-1.223826706×10^-1,-2.039407380×10^-3,-3.841402009×10^-2
1.558909167×10^-1,-1.723067611×10^-1,1.929535344×10^-2,-5.373672768×10^-2
1.658409167×10^-1,-2.116065025×10^-1,-2.072742954×10^-2,-8.069111407×10^-2
1.757909167×10^-1,-2.363734394×10^-1,-6.123785302×10^-2,-1.164203808×10^-1
1.857419167×10^-1,-2.524210811×10^-1,-5.820797384×10^-2,-1.333351880×10^-1
1.956919167×10^-1,-2.687591016×10^-1,-5.886110477×10^-3,-1.328222156×10^-1
2.056419167×10^-1,-2.810479701×10^-1,7.458981872×10^-2,-1.353439689×10^-1
2.155919167×10^-1,-3.010099828×10^-1,1.411383897×10^-1,-1.462125778×10^-1
2.255419167×10^-1,-3.315854669×10^-1,1.912987530×10^-1,-1.577027887×10^-1
2.354929167×10^-1,-3.728978038×10^-1,2.286875993×10^-1,-1.698601842×10^-1
2.454429167×10^-1,-4.106680751×10^-1,2.458237112×10^-1,-1.899193823×10^-1
2.553929167×10^-1,-4.491007328×10^-1,2.297198176×10^-1,-2.021208555×10^-1
2.653429167×10^-1,-4.784237146×10^-1,1.932321042×10^-1,-2.173695862×10^-1
2.752929167×10^-1,-4.722932875×10^-1,1.269356906×10^-1,-2.096970528×10^-1
2.852429167×10^-1,-4.044663310×10^-1,-1.126612909×10^-2,-1.870647073×10^-1
2.951939167×10^-1,-2.360463142×10^-1,-1.678494066×10^-1,-1.774554998×10^-1
