"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.199166578×10^-4,1.147513733×10^0,9.737400970×10^0,2.727328491×10^0
1.037091666×10^-2,1.143771515×10^0,9.680070190×10^0,2.754122772×10^0
2.032091666×10^-2,1.086440735×10^0,9.617200928×10^0,2.684517517×10^0
3.027091667×10^-2,1.037791901×10^0,9.532327423×10^0,2.621049500×10^0
4.022091666×10^-2,1.048868866×10^0,9.506281586×10^0,2.601739655×10^0
5.017091667×10^-2,1.175206146×10^0,9.522597656×10^0,2.657723236×10^0
6.012091666×10^-2,1.271306305×10^0,9.526788940×10^0,2.678230591×10^0
7.007191666×10^-2,1.360670471×10^0,9.575587463×10^0,2.636317749×10^0
8.002191667×10^-2,1.331630859×10^0,9.539662170×10^0,2.612966309×10^0
8.997191666×10^-2,1.106199646×10^0,9.367669830×10^0,2.631378021×10^0
9.992191667×10^-2,8.725355530×10^-1,9.211245117×10^0,2.729573822×10^0
1.098719167×10^-1,7.884104919×10^-1,9.148076477×10^0,2.825823669×10^0
1.198219167×10^-1,7.252418518×10^-1,9.135951691×10^0,2.787054291×10^0
1.297729167×10^-1,6.676116943×10^-1,9.095086670×10^0,2.747835846×10^0
1.397229167×10^-1,6.583309937×10^-1,9.164691925×10^0,2.434986420×10^0
1.496729167×10^-1,8.364605713×10^-1,9.299711151×10^0,1.961221619×10^0
1.596229167×10^-1,9.228309631×10^-1,9.188642120×10^0,2.405946808×10^0
1.695729167×10^-1,1.047371979×10^0,9.246122589×10^0,2.414029999×10^0
1.795239167×10^-1,1.107696533×10^0,9.364077301×10^0,2.284399567×10^0
1.894739167×10^-1,1.120420074×10^0,9.236841888×10^0,2.468067627×10^0
1.994239167×10^-1,1.135987701×10^0,9.179511108×10^0,2.672841797×10^0
2.093739167×10^-1,1.169218597×10^0,9.177565155×10^0,2.795885925×10^0
2.193239167×10^-1,1.148112488×10^0,9.213340759×10^0,2.799029388×10^0
2.292739167×10^-1,1.081800385×10^0,9.281748505×10^0,2.752176819×10^0
2.392249167×10^-1,1.021625519×10^0,9.319619751×10^0,2.689606934×10^0
2.491749167×10^-1,9.268725586×10^-1,9.326954498×10^0,2.668500824×10^0
2.591249167×10^-1,8.517288208×10^-1,9.266629944×10^0,2.679428101×10^0
2.690749167×10^-1,8.102650452×10^-1,9.226812744×10^0,2.742447052×10^0
2.790249167×10^-1,7.276368713×10^-1,9.151369629×10^0,2.915786591×10^0
2.889749167×10^-1,6.749464417×10^-1,9.061855774×10^0,3.213517456×10^0
2.989259167×10^-1,8.228388977×10^-1,9.091494141×10^0,3.719165955×10^0
3.088759167×10^-1,9.035211182×10^-1,9.156309357×10^0,4.075574799×10^0
3.188259167×10^-1,6.813830566×10^-1,9.245823212×10^0,4.157304840×10^0
3.287759167×10^-1,5.608836365×10^-1,9.320966949×10^0,3.963757324×10^0
3.387259167×10^-1,6.369255066×10^-1,9.299711151×10^0,3.593876495×10^0
3.486769167×10^-1,7.185058594×10^-1,9.235794067×10^0,3.050057373×10^0
3.586269167×10^-1,5.824388123×10^-1,9.260343018×10^0,2.520907745×10^0
3.685769167×10^-1,5.551954651×10^-1,9.368567963×10^0,2.487078094×10^0
3.785269167×10^-1,8.099656677×10^-1,9.422904968×10^0,2.735711060×10^0
3.884769167×10^-1,1.075064392×10^0,9.521998901×10^0,3.125051422×10^0
3.984269167×10^-1,1.230890350×10^0,9.666298828×10^0,3.482657776×10^0
4.083779167×10^-1,1.215921478×10^0,9.596843262×10^0,3.731290741×10^0
4.183279167×10^-1,1.031654663×10^0,9.368567963×10^0,3.785328369×10^0
