"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.947666668×10^-3,-6.089023501×10^-2,-1.810974777×10^-1,5.870592594×10^-2
1.489766667×10^-2,-1.045304686×10^-1,-2.168846130×10^-1,5.927846953×10^-2
2.484766667×10^-2,-1.251641065×10^-1,-2.421108633×10^-1,5.086633936×10^-2
3.479766667×10^-2,-1.339196861×10^-1,-2.599980235×10^-1,5.016797781×10^-2
4.474766667×10^-2,-1.376851350×10^-1,-2.865459919×10^-1,6.507954746×10^-2
5.469766667×10^-2,-1.436980963×10^-1,-3.202695847×10^-1,8.076345921×10^-2
6.464766667×10^-2,-1.625431627×10^-1,-3.372632265×10^-1,8.747515082×10^-2
7.459766667×10^-2,-1.850336343×10^-1,-3.355873823×10^-1,9.539722651×10^-2
8.454666667×10^-2,-2.052552849×10^-1,-3.224808872×10^-1,1.098853499×10^-1
9.449666666×10^-2,-2.194197327×10^-1,-2.992238402×10^-1,1.269831657×10^-1
1.044466667×10^-1,-2.216006070×10^-1,-2.714089751×10^-1,1.470045447×10^-1
1.143971667×10^-1,-2.332296371×10^-1,-2.025892586×10^-1,1.880901456×10^-1
1.243471667×10^-1,-2.684866786×10^-1,-1.630442590×10^-1,2.550420165×10^-1
1.342971667×10^-1,-2.932790220×10^-1,-2.448860407×10^-1,2.857768238×10^-1
1.442471667×10^-1,-3.056605756×10^-1,-3.141931891×10^-1,2.902551889×10^-1
1.541971667×10^-1,-3.112297356×10^-1,-3.232044280×10^-1,2.829278111×10^-1
1.641471667×10^-1,-2.950928509×10^-1,-2.614063025×10^-1,2.597750723×10^-1
1.740971667×10^-1,-2.492222339×10^-1,-1.614332646×10^-1,2.180068195×10^-1
1.840471667×10^-1,-1.653385162×10^-1,-2.828800306×10^-2,1.599640250×10^-1
1.939971667×10^-1,-5.418907106×10^-2,8.627757430×10^-2,1.091613024×10^-1
2.039471667×10^-1,4.766538739×10^-2,9.220603853×10^-2,7.064320892×10^-2
2.138971667×10^-1,1.194925681×10^-1,2.411654219×10^-2,5.005197600×10^-2
2.238471667×10^-1,1.608783454×10^-1,-4.328992590×10^-2,4.572327062×10^-2
2.337961667×10^-1,1.665222496×10^-1,-1.042786539×10^-1,6.152459979×10^-2
2.437461667×10^-1,1.448451877×10^-1,-1.717266589×10^-1,8.820360899×10^-2
2.536961667×10^-1,9.711985290×10^-2,-2.428689450×10^-1,1.274135262×10^-1
2.636461667×10^-1,2.675274573×10^-2,-3.212433755×10^-1,1.739538759×10^-1
2.735961667×10^-1,-5.396221578×10^-2,-4.112679958×10^-1,2.277021706×10^-1
2.835461667×10^-1,-1.433272511×10^-1,-5.154333115×10^-1,2.879679203×10^-1
2.934961667×10^-1,-2.236496210×10^-1,-6.310967207×10^-1,3.504040837×10^-1
3.034461667×10^-1,-2.968223393×10^-1,-7.253720760×10^-1,4.059728086×10^-1
3.133961667×10^-1,-3.379886746×10^-1,-7.443740368×10^-1,4.400196075×10^-1
3.233461667×10^-1,-3.321534097×10^-1,-6.694606543×10^-1,4.355963469×10^-1
3.332961667×10^-1,-2.779197693×10^-1,-5.560098290×10^-1,4.009945393×10^-1
3.432461667×10^-1,-1.854135245×10^-1,-4.491853714×10^-1,3.561671674×10^-1
3.531961667×10^-1,-7.009830326×10^-2,-3.603147864×10^-1,3.149879873×10^-1
3.631461667×10^-1,3.331170231×10^-2,-3.140450418×10^-1,2.835121155×10^-1
3.730951667×10^-1,1.047277004×10^-1,-3.076010644×10^-1,2.675607800×10^-1
3.830451667×10^-1,1.415680200×10^-1,-3.066833615×10^-1,2.556641698×10^-1
3.929951667×10^-1,1.532335132×10^-1,-2.994821668×10^-1,2.456110269×10^-1
4.029451667×10^-1,1.484800279×10^-1,-3.381603062×10^-1,2.307215631×10^-1
4.128951667×10^-1,1.296915263×10^-1,-4.077636898×10^-1,2.177170664×10^-1
4.228451667×10^-1,9.742706269×10^-2,-4.596098363×10^-1,2.074191570×10^-1
4.327951667×10^-1,5.653753877×10^-2,-4.772111475×10^-1,2.030523717×10^-1
4.427451667×10^-1,1.613312401×10^-2,-4.582925737×10^-1,2.013751119×10^-1
4.526951667×10^-1,-1.005233079×10^-2,-4.089185297×10^-1,1.880249083×10^-1
4.626451667×10^-1,-2.326613851×10^-2,-3.548981547×10^-1,1.585413218×10^-1
4.725951667×10^-1,-2.076678909×10^-2,-3.069148064×10^-1,1.152544916×10^-1
4.825451667×10^-1,-1.168320188×10^-3,-2.702561319×10^-1,7.053176314×10^-2
4.924951667×10^-1,2.324356884×10^-2,-2.756598294×10^-1,2.934912033×10^-2
5.024451667×10^-1,3.884410113×10^-2,-3.161915541×10^-1,-2.512672916×10^-3
5.123951667×10^-1,3.056360781×10^-2,-3.783850372×10^-1,-2.847586758×10^-2
5.223441667×10^-1,-8.658894338×10^-3,-4.605725706×10^-1,-5.732136220×10^-2
5.322941667×10^-1,-8.432373405×10^-2,-5.843427777×10^-1,-9.228515625×10^-2
5.422441667×10^-1,-1.953503937×10^-1,-7.660105824×10^-1,-1.354291588×10^-1
5.521941667×10^-1,-3.283482492×10^-1,-9.879628420×10^-1,-1.769834757×10^-1
5.621441667×10^-1,-4.419949353×10^-1,-1.333410263×10^0,-2.176613957×10^-1
5.720941667×10^-1,-5.333927870×10^-1,-1.702314973×10^0,-2.404258996×10^-1
5.820441667×10^-1,-6.261978149×10^-1,-1.884430170×10^0,-2.219648659×10^-1
5.919941667×10^-1,-6.784572601×10^-1,-1.960535765×10^0,-1.882401854×10^-1
6.019441667×10^-1,-6.657472849×10^-1,-1.883843422×10^0,-1.695106924×10^-1
6.118941667×10^-1,-5.899710059×10^-1,-1.677151561×10^0,-1.853796095×10^-1
6.218441667×10^-1,-4.495058358×10^-1,-1.454273462×10^0,-2.387544066×10^-1
6.317941667×10^-1,-2.640896142×10^-1,-1.255727053×10^0,-3.145070672×10^-1
6.417441667×10^-1,-8.267506957×10^-2,-1.075823069×10^0,-3.762447536×10^-1
6.516941667×10^-1,5.593542755×10^-2,-9.155210257×10^-1,-4.095744789×10^-1
6.616431667×10^-1,1.264745742×10^-1,-7.696729898×10^-1,-4.184760749×10^-1
6.715931667×10^-1,1.339701116×10^-1,-6.075039506×10^-1,-4.168463349×10^-1
6.815431667×10^-1,1.150598004×10^-1,-4.323022962×10^-1,-4.286600947×10^-1
6.914931667×10^-1,1.015762463×10^-1,-2.699792981×10^-1,-4.501187205×10^-1
7.014431667×10^-1,1.269883960×10^-1,-1.219283342×10^-1,-4.788702130×10^-1
7.113931667×10^-1,1.939568222×10^-1,1.557571068×10^-2,-4.999385774×10^-1
7.213431667×10^-1,2.946911454×10^-1,1.579030305×10^-1,-5.302608013×10^-1
7.312931667×10^-1,4.053421617×10^-1,3.010841012×10^-1,-5.718798041×10^-1
7.412431667×10^-1,5.047081709×10^-1,4.430910349×10^-1,-6.195988655×10^-1
7.511931667×10^-1,5.878927708×10^-1,6.100292802×10^-1,-6.710609794×10^-1
7.611431667×10^-1,6.576359272×10^-1,8.089492917×10^-1,-7.290169597×10^-1
7.710931667×10^-1,7.172513604×10^-1,9.914206862×10^-1,-7.721521258×10^-1
7.810431667×10^-1,7.681342363×10^-1,1.132913947×10^0,-7.852237225×10^-1
7.909931667×10^-1,8.133253455×10^-1,1.227908134×10^0,-8.082033992×10^-1
8.009431667×10^-1,8.557601571×10^-1,1.339394450×10^0,-8.694832921×10^-1
8.108921667×10^-1,9.119608998×10^-1,1.469938159×10^0,-9.599445462×10^-1
8.208421667×10^-1,9.863802791×10^-1,1.556536913×10^0,-1.048757434×10^0
8.307921667×10^-1,1.055818558×10^0,1.574302912×10^0,-1.110007763×10^0
8.407421667×10^-1,1.085993171×10^0,1.545367956×10^0,-1.146641731×10^0
8.506921667×10^-1,1.055036068×10^0,1.516641974×10^0,-1.196526766×10^0
8.606421667×10^-1,1.006265283×10^0,1.329520822×10^0,-1.245359659×10^0
8.705921667×10^-1,9.425863028×10^-1,1.107017756×10^0,-1.275661826×10^0
8.805421667×10^-1,8.774570823×10^-1,9.312425256×10^-1,-1.286682248×10^0
8.904921667×10^-1,8.183397651×10^-1,8.058217168×10^-1,-1.273086309×10^0
9.004421667×10^-1,7.731392980×10^-1,7.002816796×10^-1,-1.237624168×10^0
9.103921667×10^-1,7.337794900×10^-1,5.946727991×10^-1,-1.179235339×10^0
9.203421667×10^-1,6.775447130×10^-1,5.035386086×10^-1,-1.102511525×10^0
9.302921667×10^-1,6.115586162×10^-1,4.305666089×10^-1,-1.004413009×10^0
9.402421667×10^-1,5.710237026×10^-1,4.573473334×10^-1,-8.759312630×10^-1
9.501921667×10^-1,5.428779721×10^-1,5.875749588×10^-1,-7.289534211×10^-1
9.601411667×10^-1,5.126620531×10^-1,7.707183957×10^-1,-5.742616057×10^-1
9.700911667×10^-1,4.851272702×10^-1,9.661374688×10^-1,-4.386320114×10^-1
9.800411667×10^-1,4.729654193×10^-1,1.132305384×10^0,-3.409850895×10^-1
9.899911667×10^-1,4.734900296×10^-1,1.230636477×10^0,-2.891268432×10^-1
9.999411667×10^-1,4.928525388×10^-1,1.211224198×10^0,-2.803519666×10^-1
1.009891167×10^0,5.287864804×10^-1,1.113881946×10^0,-3.240606189×10^-1
1.019841167×10^0,5.639575124×10^-1,1.063470960×10^0,-4.057658613×10^-1
1.029791167×10^0,6.129317880×10^-1,1.089275360×10^0,-5.286262035×10^-1
1.039741167×10^0,6.973696947×10^-1,1.160913825×10^0,-6.805416942×10^-1
1.049691167×10^0,8.431279659×10^-1,1.204103589×10^0,-8.409076333×10^-1
1.059641167×10^0,1.071958542×10^0,1.190482616×10^0,-9.811440706×10^-1
1.069591167×10^0,1.392817020×10^0,1.223975420×10^0,-1.069334030×10^0
1.079541167×10^0,1.720013499×10^0,1.375830650×10^0,-1.104489088×10^0
1.089491167×10^0,1.983431935×10^0,1.543839812×10^0,-1.080991387×10^0
1.099440167×10^0,2.153920889×10^0,1.748440862×10^0,-1.036099315×10^0
1.109390167×10^0,2.245477438×10^0,1.875739098×10^0,-1.012425661×10^0
1.119339667×10^0,2.284990311×10^0,1.882840395×10^0,-1.036532640×10^0
1.129289667×10^0,2.292908907×10^0,1.960588336×10^0,-1.135183334×10^0
1.139239667×10^0,2.288739443×10^0,2.217043877×10^0,-1.247434735×10^0
1.149189667×10^0,2.294878006×10^0,2.364302635×10^0,-1.351263404×10^0
1.159139667×10^0,2.307176828×10^0,2.285514832×10^0,-1.472916365×10^0
1.169089667×10^0,2.323493958×10^0,2.134141207×10^0,-1.474971533×10^0
1.179039667×10^0,2.198939562×10^0,2.171495676×10^0,-1.156214237×10^0
1.188989667×10^0,1.943341494×10^0,2.134775639×10^0,-1.000050545×10^0
1.198939667×10^0,1.603805304×10^0,2.153305292×10^0,-8.431427479×10^-1
1.208889667×10^0,1.187233329×10^0,2.374540806×10^0,-7.679772377×10^-1
1.218839667×10^0,7.509799004×10^-1,2.597626448×10^0,-7.541341186×10^-1
1.228789667×10^0,4.181559980×10^-1,2.658030272×10^0,-7.059308290×10^-1
1.238739667×10^0,3.349913359×10^-1,2.528958559×10^0,-6.049205661×10^-1
1.248688667×10^0,5.350772738×10^-1,2.399805069×10^0,-4.487518370×10^-1
1.258638667×10^0,9.003899693×10^-1,2.299715757×10^0,-2.476911694×10^-1
1.268588667×10^0,1.291428804×10^0,2.269379377×10^0,-1.832660660×10^-2
1.278538667×10^0,1.596549630×10^0,2.281421185×10^0,1.933688670×10^-1
1.288488667×10^0,1.712533474×10^0,2.007109880×10^0,3.331929743×10^-1
1.298438667×10^0,1.529126406×10^0,8.995132446×10^-1,3.477410376×10^-1
