"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.350251667×10^-1,8.583151245×10^-1,8.521778870×10^-1,1.058778259×10^1
7.449751667×10^-1,9.526190186×10^-1,9.123527527×10^-1,1.044976959×10^1
7.549251667×10^-1,9.075627136×10^-1,9.864486694×10^-1,1.027792694×10^1
7.648751667×10^-1,8.765771484×10^-1,1.073118439×10^0,1.015009277×10^1
7.748251667×10^-1,7.999365234×10^-1,1.082848206×10^0,1.008946884×10^1
7.847751667×10^-1,6.307882690×10^-1,9.563612366×10^-1,1.005414230×10^1
7.947251667×10^-1,5.068460083×10^-1,9.214837646×10^-1,1.002959335×10^1
8.046751667×10^-1,5.530998230×10^-1,1.031954041×10^0,9.881251831×10^0
8.146241667×10^-1,5.486091614×10^-1,1.186732178×10^0,9.820478210×10^0
8.245741667×10^-1,4.164340210×10^-1,1.297202454×10^0,9.828860779×10^0
8.345241667×10^-1,1.175056458×10^-1,1.345252533×10^0,9.697284393×10^0
8.444741667×10^-1,-2.353106689×10^-1,1.307680664×10^0,9.396110687×10^0
8.544241667×10^-1,-5.203179932×10^-1,1.159937897×10^0,8.879085846×10^0
8.643741667×10^-1,-6.988966370×10^-1,1.417851562×10^0,8.539741516×10^0
8.743241667×10^-1,-9.626481628×10^-1,1.784588928×10^0,8.438701630×10^0
8.842741667×10^-1,-1.279239807×10^0,2.020797729×10^0,8.470884705×10^0
8.942241667×10^-1,-1.489702148×10^0,2.200873260×10^0,8.446635132×10^0
9.041741667×10^-1,-1.586251373×10^0,2.411185913×10^0,8.405770111×10^0
9.141241667×10^-1,-1.661844177×10^0,2.594404907×10^0,8.329428864×10^0
9.240741667×10^-1,-1.795516205×10^0,2.784958649×10^0,8.180638275×10^0
9.340241667×10^-1,-2.062560883×10^0,2.991828461×10^0,7.995473328×10^0
9.439741667×10^-1,-2.406545563×10^0,3.214565277×10^0,7.919132080×10^0
9.539231667×10^-1,-2.571652222×10^0,3.426973572×10^0,7.873926086×10^0
9.638731667×10^-1,-2.573149109×10^0,3.635939026×10^0,7.852071533×10^0
9.738231667×10^-1,-2.356549530×10^0,3.817361755×10^0,8.004754028×10^0
9.837731667×10^-1,-2.046244812×10^0,3.872297516×10^0,8.267008667×10^0
9.937231667×10^-1,-1.773362274×10^0,3.792064362×10^0,8.526269531×10^0
1.003673167×10^0,-1.639989624×10^0,3.669618988×10^0,8.816815338×10^0
1.013623167×10^0,-1.514400787×10^0,3.628155212×10^0,9.141939240×10^0
1.023573167×10^0,-1.338965607×10^0,3.648213501×10^0,9.233848114×10^0
1.033523167×10^0,-1.153201904×10^0,3.717968445×10^0,9.188342743×10^0
1.043473167×10^0,-1.013242950×10^0,3.821553040×10^0,9.392069092×10^0
1.053423167×10^0,-1.093476105×10^0,3.872746582×10^0,9.978699188×10^0
1.063373167×10^0,-1.398691406×10^0,3.797752533×10^0,1.098969681×10^1
1.073323167×10^0,-1.798659668×10^0,3.741918640×10^0,1.196252380×10^1
1.083273167×10^0,-2.049238586×10^0,3.738026733×10^0,1.184546722×10^1
1.093223167×10^0,-2.546055450×10^0,3.763773193×10^0,1.107651627×10^1
1.103172167×10^0,-2.972668304×10^0,3.966900787×10^0,1.006327332×10^1
1.113121667×10^0,-2.914289703×10^0,4.254752197×10^0,8.989556122×10^0
1.123071667×10^0,-2.887944489×10^0,4.247567139×10^0,8.243507538×10^0
1.133021667×10^0,-2.692451019×10^0,3.782334595×10^0,7.784262543×10^0
