"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.565916657×10^-3,-1.898052979×10^-1,5.820795593×10^0,7.548802185×10^0
1.251491666×10^-2,-1.115180969×10^-1,5.852379913×10^0,7.432344360×10^0
2.246491666×10^-2,-4.819976807×10^-2,5.800886993×10^0,7.323670349×10^0
3.241491667×10^-2,-2.215393066×10^-2,5.824687500×10^0,7.254813538×10^0
4.236491666×10^-2,-1.525328064×10^-1,5.798641663×10^0,7.246281281×10^0
5.231491667×10^-2,-1.649569702×10^-1,5.769003296×10^0,7.320826263×10^0
6.226491666×10^-2,-1.151106262×10^-1,5.767805786×10^0,7.489076385×10^0
7.221491667×10^-2,-7.589218140×10^-2,5.761369171×10^0,7.677384796×10^0
8.216491666×10^-2,3.802093506×10^-2,5.788462830×10^0,7.751181335×10^0
9.211491667×10^-2,2.365081787×10^-2,5.810317383×10^0,7.776329041×10^0
1.020649167×10^-1,4.490661621×10^-4,5.871839447×10^0,7.732470245×10^0
1.120149167×10^-1,-8.711883545×10^-2,5.845793610×10^0,7.619455261×10^0
1.219649167×10^-1,-5.463638306×10^-2,5.761369171×10^0,7.486831055×10^0
1.319149167×10^-1,-1.288819885×10^-1,5.647006989×10^0,7.378755798×10^0
1.418649167×10^-1,-1.673519897×10^-1,5.565276947×10^0,7.262896729×10^0
1.518139167×10^-1,-1.881587219×10^-1,5.516029358×10^0,7.277566223×10^0
1.617639167×10^-1,-1.703457642×10^-1,5.503156128×10^0,7.379953308×10^0
1.717139167×10^-1,-1.694476318×10^-1,5.477709045×10^0,7.335944824×10^0
1.816639167×10^-1,-2.115101624×10^-1,5.455405426×10^0,6.958280182×10^0
1.916139167×10^-1,-3.528163147×10^-1,5.470224609×10^0,6.688990173×10^0
2.015639167×10^-1,-4.956193542×10^-1,5.573659515×10^0,6.450536041×10^0
2.115139167×10^-1,-5.990542603×10^-1,5.689518585×10^0,6.242618408×10^0
2.214639167×10^-1,-6.764433289×10^-1,5.752537537×10^0,6.257587280×10^0
2.314139167×10^-1,-6.863227844×10^-1,5.815257111×10^0,6.436165924×10^0
2.413639167×10^-1,-5.866300964×10^-1,5.776487732×10^0,6.603368225×10^0
2.513139167×10^-1,-5.614823914×10^-1,5.748046875×10^0,6.648723907×10^0
2.612639167×10^-1,-1.402283936×10^0,6.466552734×10^0,6.930138702×10^0
2.712139167×10^-1,-3.656895447×10^-1,6.026168518×10^0,7.104376373×10^0
2.811639167×10^-1,-2.733316040×10^-1,5.526806946×10^0,6.597380676×10^0
2.911139167×10^-1,-1.200353851×10^0,5.842500458×10^0,6.593339081×10^0
3.010629167×10^-1,-1.658850403×10^0,6.032754822×10^0,6.232738953×10^0
3.110129167×10^-1,-2.116598511×10^0,6.184688873×10^0,5.639372864×10^0
3.209629167×10^-1,-2.414479065×10^0,6.483617249×10^0,5.389542389×10^0
3.309129167×10^-1,-2.824177094×10^0,6.623127136×10^0,5.204976196×10^0
3.408629167×10^-1,-2.943029938×10^0,6.755751343×10^0,4.936284943×10^0
3.508129167×10^-1,-2.922522583×10^0,6.846313019×10^0,4.896168365×10^0
3.607629167×10^-1,-3.025059357×10^0,6.889722748×10^0,5.270988922×10^0
3.707129167×10^-1,-3.252735901×10^0,6.871161346×10^0,5.551804962×10^0
3.806629167×10^-1,-2.862497406×10^0,6.692732391×10^0,5.968388672×10^0
3.906129167×10^-1,-2.350262604×10^0,6.440656586×10^0,6.422544250×10^0
4.005629167×10^-1,-2.144889679×10^0,6.545139313×10^0,5.955665131×10^0
4.105129167×10^-1,-2.631827087×10^0,6.515500946×10^0,4.293820953×10^0
4.204634167×10^-1,-3.366798706×10^0,6.993906097×10^0,4.092489624×10^0
4.304134167×10^-1,-4.423152008×10^0,6.998696136×10^0,5.066364441×10^0
4.403624167×10^-1,-4.724026337×10^0,6.565646667×10^0,6.220464478×10^0
4.503124167×10^-1,-3.492986298×10^0,6.147117004×10^0,6.957980804×10^0
4.602624167×10^-1,-2.879112854×10^0,6.437064056×10^0,6.048172760×10^0
4.702124167×10^-1,-3.662733307×10^0,6.640790405×10^0,5.664520569×10^0
4.801624167×10^-1,-4.566703491×10^0,6.976991272×10^0,6.386768646×10^0
4.901124167×10^-1,-4.505181427×10^0,7.402855682×10^0,8.162376251×10^0
5.000624167×10^-1,-3.767665100×10^0,7.126230927×10^0,9.569450226×10^0
5.100124167×10^-1,-3.431314545×10^0,7.017407227×10^0,8.249345398×10^0
5.199624167×10^-1,-4.265679474×10^0,7.216343536×10^0,4.905898132×10^0
5.299124167×10^-1,-5.223836975×10^0,7.301815796×10^0,3.933071136×10^0
5.398624167×10^-1,-5.842949524×10^0,7.309898987×10^0,3.043770447×10^0
5.498124167×10^-1,-6.347550201×10^0,7.620952148×10^0,2.453398132×10^0
5.597624167×10^-1,-6.820416870×10^0,8.122109985×10^0,2.713706818×10^0
5.697124167×10^-1,-6.976392517×10^0,8.575816498×10^0,1.517244873×10^0
5.796614167×10^-1,-7.085066528×10^0,8.769364014×10^0,1.413061523×10^-1
5.896114167×10^-1,-6.890321503×10^0,8.818012848×10^0,-9.255253601×10^-1
5.995614167×10^-1,-6.757697296×10^0,8.503965912×10^0,-9.265731812×10^-1
6.095114167×10^-1,-6.861431580×10^0,8.261619873×10^0,-5.989045715×10^-1
6.194614167×10^-1,-6.738387451×10^0,8.407865753×10^0,-3.397933960×10^-1
6.294114167×10^-1,-6.618337097×10^0,8.394244080×10^0,2.619552612×10^-2
6.393614167×10^-1,-5.528752899×10^0,7.826624451×10^0,5.764512634×10^-1
6.493114167×10^-1,-4.145629120×10^0,6.884034576×10^0,7.926017761×10^-1
6.592614167×10^-1,-4.729115753×10^0,6.513554993×10^0,7.017407227×10^-1
6.692114167×10^-1,-5.275629272×10^0,7.019203491×10^0,3.412902832×10^-1
6.791614167×10^-1,-6.345903625×10^0,7.550598450×10^0,-3.589535522×10^-1
6.891114167×10^-1,-6.831044769×10^0,8.081544342×10^0,-6.310876465×10^-1
6.990614167×10^-1,-6.768325195×10^0,8.444838867×10^0,5.667214966×10^-1
