"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.040678750×10^-1,1.901991218×10^-1,-8.561308384×10^-1,2.358583957×10^-1
7.140168750×10^-1,-4.164636880×10^-2,-3.184982836×10^-1,2.974754274×10^-1
7.239648750×10^-1,-8.119230717×10^-2,5.872386694×10^-2,4.198890924×10^-1
7.339138750×10^-1,1.280573159×10^-1,2.380483449×10^-1,6.140769124×10^-1
7.438618750×10^-1,5.618279576×10^-1,2.709596455×10^-1,8.035312891×10^-1
7.538108750×10^-1,1.083548188×10^0,1.769463569×10^-1,9.387999177×10^-1
7.637588750×10^-1,1.487640977×10^0,-5.138018355×10^-2,9.882341027×10^-1
7.737078750×10^-1,1.619982839×10^0,-4.197070897×10^-1,1.006930828×10^0
7.836558750×10^-1,1.497913122×10^0,-6.988284588×10^-1,9.666436911×10^-1
7.936048750×10^-1,1.204346776×10^0,-8.255384564×10^-1,8.368356824×10^-1
8.035528750×10^-1,9.111021757×10^-1,-8.303823471×10^-1,6.597333550×10^-1
8.135008750×10^-1,8.019892573×10^-1,-7.073357701×10^-1,4.734204710×10^-1
8.234498750×10^-1,9.315948486×10^-1,-2.381283343×10^-1,2.900860906×10^-1
8.333978750×10^-1,1.167016387×10^0,5.419474840×10^-1,1.287419349×10^-1
8.433468750×10^-1,1.386548877×10^0,1.382053852×10^0,4.653307050×10^-2
8.532948750×10^-1,1.532812834×10^0,1.919731379×10^0,4.302525893×10^-3
8.632438750×10^-1,1.571623087×10^0,2.003328323×10^0,-2.482718043×10^-2
8.731918750×10^-1,1.558860183×10^0,1.750293255×10^0,-4.484589398×10^-2
8.831408750×10^-1,1.543003321×10^0,1.343941450×10^0,-7.354741544×10^-2
8.930888750×10^-1,1.544018507×10^0,9.398869276×10^-1,-7.574824989×10^-2
9.030368750×10^-1,1.581549168×10^0,7.713057995×10^-1,1.285823528×10^-2
9.129858750×10^-1,1.663502932×10^0,8.602353930×10^-1,1.738764197×10^-1
9.229338750×10^-1,1.734624863×10^0,1.046930790×10^0,3.053842485×10^-1
9.328828750×10^-1,1.760941982×10^0,1.213973045×10^0,3.917599022×10^-1
9.428308750×10^-1,1.694619894×10^0,1.284089088×10^0,3.321467042×10^-1
9.527798750×10^-1,1.556192875×10^0,1.258116603×10^0,1.584225744×10^-1
9.627278750×10^-1,1.317818165×10^0,1.278126836×10^0,-4.385500215×10^-3
9.726758750×10^-1,9.667676687×10^-1,1.397533059×10^0,-1.020321622×10^-1
9.826248750×10^-1,5.673521757×10^-1,1.552260995×10^0,-1.485343128×10^-1
9.925728750×10^-1,1.751870513×10^-1,1.640481114×10^0,-1.571786553×10^-1
1.002521875×10^0,-1.633148342×10^-1,1.563273311×10^0,-1.745496690×10^-1
1.012469875×10^0,-4.441910088×10^-1,1.327286124×10^0,-2.223486155×10^-1
1.022418875×10^0,-6.638510823×10^-1,1.001529098×10^0,-3.122210503×10^-1
1.032366875×10^0,-8.136323094×10^-1,5.606039762×10^-1,-4.326774180×10^-1
1.042315875×10^0,-8.883002996×10^-1,1.280704439×10^-1,-5.998406410×10^-1
1.052263875×10^0,-8.794069290×10^-1,1.470154710×10^-2,-8.179287314×10^-1
1.062211875×10^0,-8.080539107×10^-1,2.998290956×10^-1,-1.010077119×10^0
1.072160875×10^0,-7.377424836×10^-1,7.769892812×10^-1,-1.129665852×10^0
1.082108875×10^0,-6.888880730×10^-1,1.241633773×10^0,-1.220104814×10^0
1.092057875×10^0,-6.863402128×10^-1,1.514730573×10^0,-1.295488715×10^0
1.102005875×10^0,-7.398415208×10^-1,1.491753459×10^0,-1.365301728×10^0
1.111954875×10^0,-8.516865969×10^-1,1.247224689×10^0,-1.438566566×10^0
1.121902875×10^0,-1.037256241×10^0,1.065768361×10^0,-1.636648417×10^0
1.131851875×10^0,-1.360236764×10^0,9.788720012×10^-1,-1.958117247×10^0
1.141799875×10^0,-1.683535099×10^0,9.781367779×10^-1,-2.221686602×10^0
1.151748875×10^0,-1.843253136×10^0,9.707342982×10^-1,-2.347214699×10^0
1.161696875×10^0,-1.816451788×10^0,8.355220556×10^-1,-2.358695269×10^0
1.171644875×10^0,-1.652065992×10^0,6.981309056×10^-1,-2.214680433×10^0
1.181593875×10^0,-1.377257943×10^0,5.273206830×10^-1,-1.898928285×10^0
1.191541875×10^0,-1.087791800×10^0,3.491767645×10^-1,-1.526943326×10^0
1.201490875×10^0,-8.341841102×10^-1,1.019018218×10^-1,-1.126093984×10^0
1.211439667×10^0,-6.671903133×10^-1,-3.922131062×10^-1,-7.201595306×10^-1
1.221388667×10^0,-6.024049520×10^-1,-1.031382918×10^0,-3.999345005×10^-1
1.231336667×10^0,-6.920258999×10^-1,-1.585249066×10^0,-1.958447546×10^-1
1.241284667×10^0,-8.790200353×10^-1,-1.736084580×10^0,-2.634071410×10^-1
1.251233667×10^0,-1.078662395×10^0,-1.787868261×10^0,-4.271398783×10^-1
1.261181667×10^0,-1.227426171×10^0,-1.928714275×10^0,-4.281648099×10^-1
1.271130667×10^0,-1.232207894×10^0,-2.196919918×10^0,-2.309952825×10^-1
1.281078667×10^0,-1.030851007×10^0,-2.350471973×10^0,4.195424914×10^-2
1.291027667×10^0,-6.841563582×10^-1,-2.223361254×10^0,3.032100797×10^-1
1.300975667×10^0,-3.289890885×10^-1,-1.968167305×10^0,4.604761004×10^-1
1.310924667×10^0,-2.522494830×10^-2,-1.814853072×10^0,5.113281012×10^-1
1.320872667×10^0,2.196254730×10^-1,-1.754378796×10^0,5.085598230×10^-1
1.330820667×10^0,3.869817257×10^-1,-1.722631335×10^0,4.111709297×10^-1
1.340769667×10^0,3.376291990×10^-1,-1.810946822×10^0,1.667697430×10^-1
