"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758405833034106×10^9,"2025-09-21 00:03:53.034 UTC+02:00"
"PAUSE",2.933216983333114×10^1,1.758405862366279×10^9,"2025-09-21 00:04:22.366 UTC+02:00"
