"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758528932954193×10^9,"2025-09-22 10:15:32.954 UTC+02:00"
"PAUSE",2.549751749999996×10^1,1.758528958451571×10^9,"2025-09-22 10:15:58.452 UTC+02:00"
