"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.965208333×10^-3,3.682297766×10^-1,-4.273497462×10^-1,-5.212395787×10^-1
1.491520833×10^-2,3.933735490×10^-1,-4.337691963×10^-1,-5.254626870×10^-1
2.486520833×10^-2,4.761930704×10^-1,-4.173992574×10^-1,-5.426949263×10^-1
3.481420833×10^-2,6.253955960×10^-1,-3.864796460×10^-1,-5.905976295×10^-1
4.476420833×10^-2,8.300773501×10^-1,-3.563747406×10^-1,-6.717427969×10^-1
5.471420833×10^-2,1.055722713×10^0,-2.997896075×10^-1,-7.882004976×10^-1
6.466320833×10^-2,1.262641430×10^0,-2.201469690×10^-1,-9.136279225×10^-1
7.461320833×10^-2,1.408646703×10^0,-1.765707582×10^-1,-1.002262592×10^0
8.456320833×10^-2,1.452984571×10^0,-1.849948764×10^-1,-1.037510633×10^0
9.451220833×10^-2,1.386343360×10^0,-2.289404869×10^-1,-1.003656626×10^0
1.044622083×10^-1,1.235546112×10^0,-2.633077800×10^-1,-9.105687141×10^-1
1.144122083×10^-1,1.039234877×10^0,-2.775837183×10^-1,-7.915560603×10^-1
1.243622083×10^-1,8.426733017×10^-1,-2.713167667×10^-1,-6.761721969×10^-1
1.343112083×10^-1,6.885493398×10^-1,-2.546301186×10^-1,-5.813080072×10^-1
1.442612083×10^-1,6.046099663×10^-1,-2.353203297×10^-1,-5.190105438×10^-1
1.542113333×10^-1,5.865693688×10^-1,-2.130601257×10^-1,-5.144160390×10^-1
1.641603333×10^-1,6.277276874×10^-1,-1.679099649×10^-1,-5.747885704×10^-1
1.741103333×10^-1,7.197853923×10^-1,-1.290628463×10^-1,-6.946231723×10^-1
1.840603333×10^-1,8.365237117×10^-1,-1.156999022×10^-1,-8.553675413×10^-1
1.940093333×10^-1,9.212085605×10^-1,-1.407500952×10^-1,-1.026133060×10^0
2.039593333×10^-1,9.378764629×10^-1,-1.820567846×10^-1,-1.163840532×10^0
2.139093333×10^-1,8.935317397×10^-1,-2.335153818×10^-1,-1.226047516×10^0
2.238593333×10^-1,8.300041556×10^-1,-2.609390318×10^-1,-1.200001001×10^0
2.338083333×10^-1,7.947309613×10^-1,-2.383058518×10^-1,-1.113800406×10^0
2.437583333×10^-1,8.099576235×10^-1,-1.866352111×10^-1,-1.041926265×10^0
2.537083333×10^-1,8.725924492×10^-1,-1.002289727×10^-1,-1.012832046×10^0
2.636573333×10^-1,9.653782845×10^-1,3.965622187×10^-2,-1.041114330×10^0
2.736073333×10^-1,1.061457157×10^0,2.022860795×10^-1,-1.099853992×10^0
2.835573333×10^-1,1.137947559×10^0,3.336457014×10^-1,-1.160696030×10^0
2.935063333×10^-1,1.159137130×10^0,4.211484492×10^-1,-1.213484406×10^0
