"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758405925687479×10^9,"2025-09-21 00:05:25.687 UTC+02:00"
"PAUSE",2.648040374999982×10^1,1.758405952167850×10^9,"2025-09-21 00:05:52.168 UTC+02:00"
