"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.784083335×10^-3,4.127784967×10^-1,5.427550077×10^-1,-6.267586946×10^-1
1.773208333×10^-2,3.888605237×10^-1,4.567573071×10^-1,-8.285760880×10^-1
2.768008333×10^-2,3.103369474×10^-1,3.848141432×10^-1,-9.877593517×10^-1
3.762908333×10^-2,2.345164269×10^-1,3.519254029×10^-1,-1.161039352×10^0
4.757708333×10^-2,1.877499968×10^-1,4.188988507×10^-1,-1.339661837×10^0
5.752508333×10^-2,2.388063073×10^-1,5.150071979×10^-1,-1.494419813×10^0
6.747308333×10^-2,3.455697596×10^-1,5.533966422×10^-1,-1.579173803×10^0
7.742208333×10^-2,4.872621000×10^-1,5.846424699×10^-1,-1.585639954×10^0
8.737008333×10^-2,6.371114850×10^-1,7.353222370×10^-1,-1.524913311×10^0
9.731808333×10^-2,7.712242603×10^-1,1.117215633×10^0,-1.384947419×10^0
1.072660833×10^-1,9.053141475×10^-1,1.629747629×10^0,-1.240102530×10^0
1.172150833×10^-1,1.108485579×10^0,1.904966831×10^0,-1.213372588×10^0
1.271630833×10^-1,1.506777525×10^0,1.763317585×10^0,-1.356552601×10^0
1.371110833×10^-1,1.819218874×10^0,1.671493053×10^0,-1.482945800×10^0
1.470600833×10^-1,1.964817286×10^0,1.687700748×10^0,-1.439882278×10^0
1.570080833×10^-1,2.054164171×10^0,1.637779236×10^0,-1.288543582×10^0
1.669560833×10^-1,1.999110699×10^0,1.570687056×10^0,-1.145246267×10^0
1.769040833×10^-1,1.852574348×10^0,1.384562135×10^0,-1.118850470×10^0
1.868530833×10^-1,1.607094526×10^0,1.212306261×10^0,-1.138257146×10^0
1.968010833×10^-1,1.320662618×10^0,1.136816621×10^0,-1.183235526×10^0
2.067490833×10^-1,9.840350747×10^-1,1.117272973×10^0,-1.182617188×10^0
2.166970833×10^-1,6.233242750×10^-1,9.033317566×10^-1,-1.145470500×10^0
2.266460833×10^-1,2.668750286×10^-1,5.181020498×10^-1,-1.109904885×10^0
2.365940833×10^-1,1.579476297×10^-1,-2.578350157×10^-2,-1.097476602×10^0
2.465420833×10^-1,3.952038288×10^-1,-2.274662852×10^-1,-1.051049709×10^0
2.564900833×10^-1,6.283170581×10^-1,2.777819037×10^-1,-9.000108838×10^-1
2.664390833×10^-1,8.601412773×10^-1,7.574962974×10^-1,-8.166390061×10^-1
2.763870833×10^-1,1.004324794×10^0,7.806832790×10^-1,-8.445464969×10^-1
2.863350833×10^-1,9.529361129×10^-1,6.164112091×10^-1,-8.426010013×10^-1
2.962830833×10^-1,8.143288493×10^-1,3.654208183×10^-1,-8.341291547×10^-1
3.062320833×10^-1,7.109268308×10^-1,6.799978763×10^-2,-8.823696375×10^-1
3.161800833×10^-1,6.961912513×10^-1,-1.732972860×10^-1,-9.265683293×10^-1
3.261280833×10^-1,7.827325463×10^-1,-2.188040465×10^-1,-9.730298519×10^-1
3.360760833×10^-1,9.857183695×10^-1,1.601781882×10^-2,-1.045580149×10^0
3.460250833×10^-1,1.228591442×10^0,4.505372941×10^-1,-1.118230343×10^0
3.559730833×10^-1,1.406276464×10^0,7.941971421×10^-1,-1.220005393×10^0
3.659210833×10^-1,1.401960492×10^0,9.084254503×10^-1,-1.292203188×10^0
3.758690833×10^-1,1.320387959×10^0,9.438575506×10^-1,-1.228596330×10^0
3.858180833×10^-1,1.213974476×10^0,9.761441350×10^-1,-1.021346450×10^0
3.957660833×10^-1,1.016349792×10^0,9.223389030×10^-1,-8.697692752×10^-1
4.057140833×10^-1,8.250842094×10^-1,6.925216317×10^-1,-8.583054543×10^-1
4.156620833×10^-1,7.878926992×10^-1,5.014374256×10^-1,-8.529630303×10^-1
4.256110833×10^-1,9.321873188×10^-1,6.184915900×10^-1,-7.909387946×10^-1
4.355590833×10^-1,1.103311539×10^0,9.483005404×10^-1,-9.390880466×10^-1
4.455064583×10^-1,1.185388088×10^0,1.187696099×10^0,-1.010466099×10^0
4.554544583×10^-1,1.044290066×10^0,1.267184377×10^0,-1.011445999×10^0
4.654034583×10^-1,7.066612244×10^-1,1.182532787×10^0,-9.705079198×10^-1
4.753514583×10^-1,4.685248435×10^-1,1.018435001×10^0,-8.361426592×10^-1
4.852994583×10^-1,6.532701850×10^-1,1.085988998×10^0,-6.558083296×10^-1
4.952474583×10^-1,1.016217589×10^0,1.384603500×10^0,-5.399857759×10^-1
5.051964583×10^-1,1.310859561×10^0,1.463491917×10^0,-5.074738860×10^-1
5.151444583×10^-1,1.363516092×10^0,1.345609546×10^0,-5.321734548×10^-1
5.250924583×10^-1,1.208421588×10^0,1.017430902×10^0,-5.202584863×10^-1
5.350404583×10^-1,9.963974357×10^-1,6.861388087×10^-1,-3.954541385×10^-1
5.449894583×10^-1,8.477848172×10^-1,1.764566600×10^-1,-2.321674675×10^-1
5.549374583×10^-1,8.335017562×10^-1,-3.083043694×10^-1,-7.356061786×10^-2
5.648854583×10^-1,8.559572697×10^-1,-8.485465646×10^-1,9.063445032×10^-2
5.748334583×10^-1,9.029314518×10^-1,-1.044769049×10^0,7.557901740×10^-2
5.847824583×10^-1,1.373169541×10^0,-8.086066842×10^-1,-7.801715732×10^-1
5.947304583×10^-1,2.344572783×10^0,-1.864627481×10^0,-1.551143527×10^0
6.046784583×10^-1,2.724994659×10^0,-3.085577011×10^0,-1.510852337×10^0
6.146264583×10^-1,2.514587641×10^0,-3.961688757×10^0,-1.245365977×10^0
6.245754583×10^-1,1.966741920×10^0,-4.585527420×10^0,-1.001654267×10^0
6.345234583×10^-1,1.389925957×10^0,-4.198363304×10^0,-8.071097732×10^-1
6.444714583×10^-1,8.418200016×10^-1,-3.186300516×10^0,-5.446448922×10^-1
6.544204583×10^-1,4.576147199×10^-1,-1.999490380×10^0,-2.297933400×10^-1
6.643684583×10^-1,3.198965490×10^-1,-1.021628261×10^0,9.863195568×10^-2
6.743164583×10^-1,3.392319083×10^-1,-4.213079512×10^-1,4.097985327×10^-1
6.842644583×10^-1,3.974672556×10^-1,-1.053156108×10^-1,6.687079072×10^-1
6.942134583×10^-1,4.820141494×10^-1,3.008200228×10^-2,8.672109842×10^-1
7.041614583×10^-1,6.396466494×10^-1,2.019980922×10^-2,1.019185781×10^0
7.141094583×10^-1,7.687275410×10^-1,-3.394825757×10^-2,1.240880489×10^0
7.240574583×10^-1,1.012499690×10^0,-3.058452904×10^-1,1.175108075×10^0
7.340064583×10^-1,1.404104590×10^0,-5.095332861×10^-1,1.067439318×10^0
7.439544583×10^-1,1.794318199×10^0,-6.343010664×10^-1,9.396516085×10^-1
7.539024583×10^-1,2.028544903×10^0,-7.154457569×10^-1,7.964351773×10^-1
7.638504583×10^-1,2.099928379×10^0,-6.987496018×10^-1,6.712048650×10^-1
7.737994583×10^-1,2.061468840×10^0,-6.643608212×10^-1,5.360102654×10^-1
7.837474583×10^-1,1.931689978×10^0,-6.364333034×10^-1,3.882282972×10^-1
7.936954583×10^-1,1.710003614×10^0,-5.827587843×10^-1,2.541095614×10^-1
8.036434583×10^-1,1.440351963×10^0,-6.021985412×10^-1,1.001109332×10^-1
8.135924583×10^-1,1.211183429×10^0,-7.126619220×10^-1,-5.506023765×10^-2
8.235404583×10^-1,1.113175154×10^0,-8.467313051×10^-1,-1.776239723×10^-1
8.334884583×10^-1,1.171416044×10^0,-9.765310884×10^-1,-2.591979504×10^-1
8.434364583×10^-1,1.368035674×10^0,-1.070718884×10^0,-2.992998362×10^-1
8.533854583×10^-1,1.632054687×10^0,-1.059690714×10^0,-2.795535028×10^-1
8.633334583×10^-1,1.828997612×10^0,-1.003094554×10^0,-2.203967124×10^-1
8.732814583×10^-1,1.882648826×10^0,-9.245263338×10^-1,-1.422401071×10^-1
8.832294583×10^-1,1.806072593×10^0,-7.660919428×10^-1,-7.298301160×10^-2
8.931784583×10^-1,1.648994684×10^0,-5.125027895×10^-1,-2.328406088×10^-2
9.031264583×10^-1,1.440247774×10^0,-1.837946624×10^-1,-2.271867171×10^-2
9.130744583×10^-1,1.245573640×10^0,8.922823519×10^-2,-6.374766678×10^-2
9.230224583×10^-1,1.101195693×10^0,2.430319041×10^-1,-1.047627479×10^-1
9.329714583×10^-1,9.923512340×10^-1,3.580610156×10^-1,-1.266597807×10^-1
9.429194583×10^-1,9.258102775×10^-1,6.323927045×10^-1,-1.627421528×10^-1
9.528674583×10^-1,9.451368451×10^-1,1.016123772×10^0,-1.885218173×10^-1
9.628154583×10^-1,1.041368127×10^0,1.416001678×10^0,-1.443820596×10^-1
9.727644583×10^-1,1.303746939×10^0,1.861397028×10^0,-3.978277445×10^-1
9.827124583×10^-1,1.626540422×10^0,2.167308331×10^0,-8.338418603×10^-1
9.926604583×10^-1,1.881594181×10^0,2.100965738×10^0,-1.208823800×10^0
1.002609458×10^0,1.922608733×10^0,1.336084127×10^0,-1.474465370×10^0
1.012557458×10^0,1.625960946×10^0,5.459600091×10^-1,-1.526901722×10^0
1.022505458×10^0,1.118543267×10^0,1.413693577×10^-1,-1.585354447×10^0
1.032453458×10^0,6.475925446×10^-1,7.996731251×10^-2,-1.732156396×10^0
1.042402458×10^0,4.156253338×10^-1,2.913376093×10^-1,-1.873809099×10^0
1.052350458×10^0,3.395721912×10^-1,7.444090247×10^-1,-1.936753273×10^0
1.062298458×10^0,2.147189230×10^-1,1.246349216×10^0,-1.902100205×10^0
1.072246458×10^0,1.200720575×10^-2,1.580424666×10^0,-1.767325640×10^0
1.082195458×10^0,-2.355091125×10^-1,1.653406739×10^0,-1.583345175×10^0
1.092143458×10^0,-3.249433339×10^-1,1.457413197×10^0,-1.387128472×10^0
1.102091458×10^0,-8.671659045×10^-3,1.022505641×10^0,-1.136461973×10^0
1.112039458×10^0,5.143350959×10^-1,5.174356699×10^-1,-9.000152349×10^-1
1.121988458×10^0,1.068634868×10^0,1.213530302×10^-1,-5.606243610×10^-1
1.131936458×10^0,1.348984718×10^0,2.441509664×10^-1,-2.596670985×10^-1
1.141884458×10^0,1.564291477×10^0,4.508913755×10^-1,1.850336492×10^-1
1.151832458×10^0,8.944656849×10^-1,1.494727969×10^0,1.030506372×10^0
1.161781458×10^0,-9.839376062×10^-2,2.386458874×10^0,1.130301714×10^0
1.171729458×10^0,-5.391199589×10^-1,2.606290817×10^0,6.093845367×10^-1
1.181677458×10^0,-2.099593431×10^-1,2.281746626×10^0,2.077175081×10^-1
1.191625458×10^0,2.148025185×10^-1,1.691016078×10^0,7.219711691×10^-2
1.201574458×10^0,3.080230057×10^-1,8.100981116×10^-1,-7.458380610×10^-2
1.211522458×10^0,-1.218177602×10^-1,5.341774784×10^-3,1.547750784×10^-3
1.221470458×10^0,-6.236196160×10^-1,-4.603511095×10^-1,-1.609418392×10^-1
1.231418458×10^0,-9.054759741×10^-1,-3.379718214×10^-2,-1.958984286×10^-1
1.241367458×10^0,-8.780936003×10^-1,6.211396456×10^-1,-9.676252306×10^-2
1.251315458×10^0,-4.967072606×10^-1,1.124170780×10^0,1.253107786×10^-1
1.261263458×10^0,-1.351722479×10^-1,1.276969910×10^0,4.740756750×10^-1
1.271211458×10^0,-2.809270918×10^-1,1.172852159×10^0,7.590172887×10^-1
1.281160458×10^0,-6.679638028×10^-1,9.915109277×10^-1,9.482532740×10^-1
1.291108458×10^0,-9.929013252×10^-1,6.452409029×10^-1,9.761434197×10^-1
1.301056458×10^0,-1.283880472×10^0,1.129940897×10^-1,1.003852606×10^0
1.311004458×10^0,-1.531917572×10^0,-5.291225910×10^-1,9.981956482×10^-1
1.320953458×10^0,-1.521586657×10^0,-1.051531196×10^0,9.858287573×10^-1
1.330901458×10^0,-1.106947660×10^0,-1.330326200×10^0,9.810332060×10^-1
1.340849458×10^0,-7.564197779×10^-1,-1.219471097×10^0,8.796498179×10^-1
1.350797458×10^0,-7.974091172×10^-1,-8.201991916×10^-1,6.689928770×10^-1
1.360746458×10^0,-9.600800872×10^-1,-3.188468814×10^-1,3.013690710×10^-1
1.370694458×10^0,-1.086490989×10^0,2.866494469×10^-2,-6.723082066×10^-2
1.380642458×10^0,-1.032271981×10^0,-1.184839290×10^-2,-3.864397109×10^-1
1.390590458×10^0,-8.301725984×10^-1,-4.039235711×10^-1,-6.189286113×10^-1
1.400539458×10^0,-5.175598264×10^-1,-6.909465194×10^-1,-7.750255466×10^-1
1.410487458×10^0,-3.147404492×10^-1,-7.169376016×10^-1,-8.790041208×10^-1
1.420435458×10^0,-1.546447724×10^-1,-5.882640481×10^-1,-9.755793810×10^-1
1.430384458×10^0,8.399052173×10^-2,-2.593057454×10^-1,-9.765632749×10^-1
1.440332458×10^0,4.624291956×10^-1,2.648378909×10^-1,-1.020466328×10^0
1.450280542×10^0,7.172333598×10^-1,8.413754702×10^-1,-1.094647527×10^0
1.460228542×10^0,8.431236148×10^-1,1.251063704×10^0,-1.295002222×10^0
1.470177542×10^0,8.825238943×10^-1,1.423448086×10^0,-1.564554214×10^0
1.480125542×10^0,7.766137123×10^-1,1.081005573×10^0,-1.453244686×10^0
1.490073542×10^0,4.421867132×10^-1,3.364238441×10^-1,-1.131189108×10^0
1.500021542×10^0,-1.616176963×10^-1,-5.442789793×10^-1,-7.114688754×10^-1
1.509970542×10^0,-9.345031977×10^-1,-1.302314043×10^0,-3.117212951×10^-1
1.519918542×10^0,-1.630950451×10^0,-1.248603106×10^0,4.010517523×10^-2
1.529866542×10^0,-2.460378647×10^0,-8.418788910×10^-1,3.292038441×10^-1
1.539814542×10^0,-2.497866631×10^0,2.879520655×10^-1,6.136105061×10^-1
1.549763542×10^0,-1.093036413×10^0,1.741706848×10^0,1.718734264×10^0
1.559711542×10^0,-5.092047453×10^-1,3.166737318×10^0,2.011310816×10^0
1.569659542×10^0,-6.591026783×10^-1,2.080585003×10^0,1.322016120×10^0
1.579607542×10^0,-1.506101042×10^-1,1.672736406×10^-1,3.248407245×10^-1
