"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758366779577337×10^9,"2025-09-20 13:12:59.577 UTC+02:00"
"PAUSE",2.577867645833612×10^1,1.758366805355930×10^9,"2025-09-20 13:13:25.356 UTC+02:00"
