"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758528880631088×10^9,"2025-09-22 10:14:40.631 UTC+02:00"
"PAUSE",2.466574475000016×10^1,1.758528905296698×10^9,"2025-09-22 10:15:05.297 UTC+02:00"
