"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758406006251985×10^9,"2025-09-21 00:06:46.252 UTC+02:00"
"PAUSE",2.362895800000115×10^1,1.758406029880904×10^9,"2025-09-21 00:07:09.881 UTC+02:00"
