"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.521666681×10^-4,-5.755531311×10^-1,-1.326990509×10^0,9.439370728×10^0
1.050116667×10^-2,-5.318440247×10^-1,-1.313368835×10^0,9.501641235×10^0
2.045116667×10^-2,-5.912704468×10^-1,-1.235381012×10^0,9.556726685×10^0
3.040116667×10^-2,-6.057902527×10^-1,-1.159638519×10^0,9.663005676×10^0
4.035116667×10^-2,-5.287005615×10^-1,-1.057251434×10^0,9.851912842×10^0
5.030016667×10^-2,-4.565505981×10^-1,-9.747729492×10^-1,9.890083466×10^0
6.025016667×10^-2,-5.174739075×10^-1,-9.919871521×10^-1,9.721084900×10^0
7.020016667×10^-2,-5.610333252×10^-1,-1.094972992×10^0,9.652527466×10^0
8.015016666×10^-2,-6.057902527×10^-1,-1.184187469×10^0,9.677974548×10^0
9.009916667×10^-2,-6.095324707×10^-1,-1.236279144×10^0,9.750274200×10^0
1.000491667×10^-1,-6.005511475×10^-1,-1.217717743×10^0,9.798024902×10^0
1.099991667×10^-1,-5.662724304×10^-1,-1.175056458×10^0,9.813143463×10^0
1.199491667×10^-1,-5.173242188×10^-1,-1.158740387×10^0,9.797276459×10^0
1.298981667×10^-1,-4.891827393×10^-1,-1.146765289×10^0,9.815688171×10^0
1.398481667×10^-1,-4.665797424×10^-1,-1.114282837×10^0,9.812993774×10^0
1.497981667×10^-1,-4.219725037×10^-1,-1.112336884×10^0,9.849817200×10^0
1.597481667×10^-1,-4.302053833×10^-1,-1.087338867×10^0,9.840686188×10^0
1.696971667×10^-1,-4.825964355×10^-1,-1.132544861×10^0,9.774673462×10^0
1.796471667×10^-1,-5.116360474×10^-1,-1.215322723×10^0,9.854756927×10^0
1.895971667×10^-1,-4.995112610×10^-1,-1.236428833×10^0,9.969867554×10^0
1.995461667×10^-1,-4.857398987×10^-1,-1.241069183×10^0,9.995763702×10^0
2.094961667×10^-1,-4.813989258×10^-1,-1.275946655×10^0,9.976154480×10^0
2.194461667×10^-1,-4.819976807×10^-1,-1.280886383×10^0,9.947414246×10^0
2.293961667×10^-1,-4.870870972×10^-1,-1.264420624×10^0,9.898765411×10^0
2.393451667×10^-1,-4.547543335×10^-1,-1.247206421×10^0,9.888436890×10^0
2.492951667×10^-1,-4.538562012×10^-1,-1.210382996×10^0,9.931696930×10^0
2.592451667×10^-1,-4.878355408×10^-1,-1.163380737×10^0,1.002061203×10^1
2.691951667×10^-1,-4.680766296×10^-1,-1.131197662×10^0,1.007105713×10^1
2.791441667×10^-1,-4.719685364×10^-1,-1.152603149×10^0,1.006102798×10^1
2.890941667×10^-1,-5.183720398×10^-1,-1.150657196×10^0,1.006956024×10^1
2.990441667×10^-1,-5.254074097×10^-1,-1.146615601×10^0,1.004306534×10^1
3.089941667×10^-1,-5.493576050×10^-1,-1.139280853×10^0,1.003123993×10^1
3.189433333×10^-1,-5.960604858×10^-1,-1.163380737×10^0,1.011446686×10^1
3.288933333×10^-1,-6.042933655×10^-1,-1.195264435×10^0,1.018272491×10^1
3.388433333×10^-1,-5.879772949×10^-1,-1.211131439×10^0,1.021326141×10^1
3.487933333×10^-1,-5.646258545×10^-1,-1.240171051×10^0,1.020577698×10^1
3.587423333×10^-1,-5.284011841×10^-1,-1.252146149×10^0,1.018003052×10^1
3.686923333×10^-1,-4.646337891×10^-1,-1.201401672×10^0,1.013796799×10^1
3.786423333×10^-1,-4.248165894×10^-1,-1.128652954×10^0,1.013901581×10^1
3.885913333×10^-1,-3.507206726×10^-1,-1.071771240×10^0,1.018152740×10^1
3.985413333×10^-1,-2.733316040×10^-1,-1.008901978×10^0,1.028660889×10^1
4.084913333×10^-1,-2.182461548×10^-1,-1.001417542×10^0,1.043719574×10^1
4.184413333×10^-1,-2.686912537×10^-1,-1.046623535×10^0,1.053763687×10^1
4.283903333×10^-1,-3.308120728×10^-1,-1.120420074×10^0,1.063164139×10^1
4.383403333×10^-1,-3.845503235×10^-1,-1.193019104×10^0,1.070409073×10^1
4.482903333×10^-1,-4.393363953×10^-1,-1.250200195×10^0,1.076082275×10^1
4.582403333×10^-1,-4.721182251×10^-1,-1.357976074×10^0,1.072489746×10^1
4.681893333×10^-1,-4.703219604×10^-1,-1.427581329×10^0,1.064466431×10^1
