"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.833523333×10^-1,2.648281455×10^-1,6.260544062×10^-1,-6.656196117×10^-1
6.933023333×10^-1,2.647670805×10^-1,6.479337811×10^-1,-6.587689519×10^-1
7.032513333×10^-1,2.809718847×10^-1,6.181918383×10^-1,-6.466092467×10^-1
7.132013333×10^-1,3.216915429×10^-1,5.127269030×10^-1,-6.486417055×10^-1
7.231513333×10^-1,3.977996111×10^-1,3.443320394×10^-1,-6.635295749×10^-1
7.331013333×10^-1,4.868861437×10^-1,1.655596495×10^-1,-6.641070247×10^-1
7.430503333×10^-1,5.694657564×10^-1,-2.510829642×10^-2,-6.336974502×10^-1
7.530003333×10^-1,6.485108733×10^-1,-1.786731184×10^-1,-5.785941482×10^-1
7.629503333×10^-1,7.389289141×10^-1,-2.743828893×10^-1,-5.130020976×10^-1
7.729003333×10^-1,8.275284767×10^-1,-3.331382871×10^-1,-4.507795274×10^-1
7.828493333×10^-1,8.952568769×10^-1,-3.757770956×10^-1,-4.032559395×10^-1
7.927993333×10^-1,9.210774302×10^-1,-4.165101945×10^-1,-3.773047626×10^-1
8.027493333×10^-1,9.159764051×10^-1,-4.771407843×10^-1,-3.749721050×10^-1
8.126983333×10^-1,9.093779922×10^-1,-5.531486273×10^-1,-4.120678008×10^-1
8.226483333×10^-1,5.534721017×10^-1,-1.258605838×10^0,-5.605587959×10^-1
8.325983333×10^-1,5.043303967×10^-1,-8.665136695×10^-1,-6.486353278×10^-1
8.425483333×10^-1,5.826143026×10^-1,-9.991140962×10^-1,-9.730751514×10^-1
8.524973333×10^-1,6.423851848×10^-1,-1.419080138×10^0,-1.193320036×10^0
8.624473333×10^-1,8.886865973×10^-1,-1.368034244×10^0,-1.441044569×10^0
8.723973333×10^-1,1.205324531×10^0,-1.202372074×10^0,-1.644788861×10^0
8.823473333×10^-1,1.526724935×10^0,-1.147829175×10^0,-1.737357140×10^0
8.922963333×10^-1,1.735702634×10^0,-9.172574282×10^-1,-1.901924253×10^0
9.022463333×10^-1,1.493875027×10^0,-4.028412700×10^-2,-1.270387292×10^0
9.121963333×10^-1,1.168254495×10^0,9.390733242×10^-1,-9.437301159×10^-1
9.221463333×10^-1,8.452692628×10^-1,9.461517334×10^-1,-1.142771363×10^0
9.320953333×10^-1,6.457948685×10^-1,8.586853743×10^-1,-1.556389213×10^0
9.420453333×10^-1,7.125408649×10^-1,6.351678967×10^-1,-2.001538277×10^0
9.519953333×10^-1,8.021473885×10^-1,4.664528370×10^-1,-2.532697916×10^0
9.619453333×10^-1,6.601766944×10^-1,8.338271379×10^-1,-2.919327259×10^0
9.718943333×10^-1,3.875325024×10^-1,1.016688704×10^0,-2.996283293×10^0
9.818443333×10^-1,1.201407462×10^-1,9.054186344×10^-1,-2.752689838×10^0
9.917943333×10^-1,1.157738343×10^-1,1.296521783×10^0,-2.500546932×10^0
1.001744333×10^0,3.980768919×10^-1,1.484919190×10^0,-2.206680298×10^0
1.011693333×10^0,6.667881012×10^-1,1.514934301×10^0,-2.073890209×10^0
1.021643333×10^0,7.972683311×10^-1,1.826828003×10^0,-2.056583643×10^0
1.031593333×10^0,9.818282127×10^-1,1.894560814×10^0,-2.097542048×10^0
1.041543333×10^0,1.204235673×10^0,1.938760757×10^0,-2.239066362×10^0
1.051492333×10^0,1.427750468×10^0,2.128759623×10^0,-2.393496513×10^0
1.061442333×10^0,1.801987410×10^0,2.408533335×10^0,-2.517722845×10^0
1.071392333×10^0,2.237791300×10^0,2.551266909×10^0,-2.603885412×10^0
1.081342333×10^0,2.643098831×10^0,2.638880491×10^0,-2.650392771×10^0
1.091291333×10^0,2.935593605×10^0,2.852479458×10^0,-2.611196995×10^0
1.101241333×10^0,3.093906164×10^0,3.250699520×10^0,-2.533497572×10^0
1.111191333×10^0,3.174512625×10^0,3.449488878×10^0,-2.530380726×10^0
1.121141333×10^0,3.239033937×10^0,3.415440798×10^0,-2.633916140×10^0
1.131090333×10^0,3.289357185×10^0,3.100036860×10^0,-2.800024033×10^0
1.141040333×10^0,3.249654055×10^0,2.911477089×10^0,-2.958397388×10^0
1.150990333×10^0,3.177508831×10^0,2.803515434×10^0,-2.975284100×10^0
1.160940333×10^0,3.129533529×10^0,2.654072046×10^0,-2.882852554×10^0
1.170889333×10^0,3.013526201×10^0,2.440937996×10^0,-2.759035826×10^0
1.180839333×10^0,2.869720936×10^0,2.099987984×10^0,-2.619160414×10^0
1.190789333×10^0,2.771225214×10^0,1.767892361×10^0,-2.464912176×10^0
1.200738333×10^0,2.693408489×10^0,1.553479910×10^0,-2.314186335×10^0
1.210688333×10^0,2.618362665×10^0,1.395989418×10^0,-2.172511339×10^0
1.220638333×10^0,2.520066977×10^0,1.248212457×10^0,-1.989751101×10^0
1.230588333×10^0,2.421881199×10^0,1.108336568×10^0,-1.797065496×10^0
1.240537333×10^0,2.288981199×10^0,1.021894574×10^0,-1.666028142×10^0
1.250487333×10^0,2.166686058×10^0,9.793894887×10^-1,-1.580280185×10^0
1.260437333×10^0,2.065755606×10^0,1.024616361×10^0,-1.503755093×10^0
1.270387333×10^0,1.981672168×10^0,1.145971060×10^0,-1.428607106×10^0
1.280337333×10^0,1.921848416×10^0,1.291563630×10^0,-1.360499382×10^0
1.290286333×10^0,1.868125439×10^0,1.480470419×10^0,-1.278510571×10^0
1.300236333×10^0,1.882723212×10^0,1.572199821×10^0,-1.222911954×10^0
1.310186333×10^0,1.926883817×10^0,1.542826176×10^0,-1.197834849×10^0
1.320135292×10^0,1.662886500×10^0,1.119508982×10^0,-1.144728184×10^0
1.330085292×10^0,1.372235537×10^0,6.040044427×10^-1,-9.401928782×10^-1
1.340035292×10^0,1.226981401×10^0,4.866485000×10^-1,-7.061420083×10^-1
1.349985292×10^0,1.266508460×10^0,5.821972489×10^-1,-5.471358299×10^-1
1.359934292×10^0,1.370768547×10^0,5.783444643×10^-1,-3.977112472×10^-1
1.369884292×10^0,1.547825456×10^0,4.001257718×10^-1,-2.585690618×10^-1
1.379834292×10^0,1.755763412×10^0,2.008456886×10^-1,-2.390315831×10^-1
1.389784292×10^0,1.931074500×10^0,2.525069118×10^-1,-2.599506676×10^-1
1.399733292×10^0,1.957690597×10^0,5.714220405×10^-1,-3.748125434×10^-1
1.409683292×10^0,1.850957751×10^0,9.907491803×10^-1,-5.619070530×10^-1
1.419633292×10^0,1.705917239×10^0,1.179230213×10^0,-7.817347646×10^-1
1.429583292×10^0,1.575787306×10^0,1.128197193×10^0,-9.369587302×10^-1
1.439532292×10^0,1.419591546×10^0,9.839761257×10^-1,-1.001292467×10^0
1.449482292×10^0,1.219576716×10^0,8.600733280×10^-1,-9.401431084×10^-1
1.459432292×10^0,9.853352308×10^-1,7.466226816×10^-1,-7.608767152×10^-1
1.469382292×10^0,6.742038131×10^-1,6.394987702×10^-1,-5.483704805×10^-1
1.479331292×10^0,3.116288185×10^-1,3.797242045×10^-1,-3.244956136×10^-1
1.489281292×10^0,9.440556914×10^-2,9.305202961×10^-2,-2.466447502×10^-1
1.499231292×10^0,2.156281471×10^-1,6.898078322×10^-2,-2.620553970×10^-1
1.509181292×10^0,5.480998755×10^-1,1.503523439×10^-1,-2.941782176×10^-1
1.519130292×10^0,8.902997971×10^-1,3.425222933×10^-1,-3.079147935×10^-1
1.529080292×10^0,1.171871305×10^0,4.331716299×10^-1,-2.659865320×10^-1
1.539030292×10^0,1.356585979×10^0,2.156398296×10^-1,-2.321465462×10^-1
1.548980292×10^0,1.460563064×10^0,-8.335527033×10^-2,-1.402474493×10^-1
1.558929292×10^0,1.454015136×10^0,1.029853150×10^-1,2.598945424×10^-2
1.568879292×10^0,1.533432007×10^0,-1.070856769×10^-2,9.336555004×10^-2
1.578829292×10^0,1.598926663×10^0,-3.074220121×10^-1,1.560289413×10^-1
1.588779292×10^0,1.693614960×10^0,-3.386443853×10^-1,1.672778577×10^-1
1.598728292×10^0,1.795838237×10^0,-5.173630118×10^-1,1.793551818×10^-2
1.608678292×10^0,1.724314451×10^0,-6.721972227×10^-1,-4.082689434×10^-2
1.618628292×10^0,1.667355776×10^0,-4.643526673×10^-1,-1.378410608×10^-1
1.628578292×10^0,1.768645406×10^0,-1.105889976×10^-1,-2.406685650×10^-1
1.638527292×10^0,2.021795273×10^0,1.219041646×10^-1,-3.761094809×10^-1
1.648477292×10^0,2.240907669×10^0,-2.303831838×10^-2,-3.372465670×10^-1
1.658427292×10^0,2.200653553×10^0,-4.372874498×10^-1,-2.895344235×10^-2
1.668377292×10^0,2.126070261×10^0,-3.156614006×10^-1,6.859845668×10^-2
1.678326292×10^0,2.076875210×10^0,1.959145367×10^-1,2.936648428×10^-1
1.688276292×10^0,1.998721242×10^0,9.533501863×10^-1,6.086081266×10^-1
1.698226292×10^0,1.815286756×10^0,1.616795778×10^0,1.007908463×10^0
1.708176292×10^0,1.632593751×10^0,1.733820319×10^0,1.398516059×10^0
1.718125292×10^0,1.469383240×10^0,1.309436560×10^0,1.599423051×10^0
1.728075292×10^0,8.942334652×10^-1,1.209532380×10^0,1.692589760×10^0
1.738025292×10^0,8.871970773×10^-1,5.321256518×10^-1,1.473255754×10^0
1.747975292×10^0,7.490203977×10^-1,2.107978165×10^-1,1.283319473×10^0
