"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758367206011354×10^9,"2025-09-20 13:20:06.011 UTC+02:00"
"PAUSE",2.545937437499379×10^1,1.758367231470644×10^9,"2025-09-20 13:20:31.471 UTC+02:00"
