"event","experiment time","system time","system time text"
"START",0.000000000000000×10^0,1.758369400159877×10^9,"2025-09-20 13:56:40.160 UTC+02:00"
"PAUSE",2.399302579167124×10^1,1.758369424152844×10^9,"2025-09-20 13:57:04.153 UTC+02:00"
