"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.164744167×10^-1,8.001103997×10^-1,-5.003657341×10^-1,-2.757488377×10^-2
7.264244167×10^-1,8.148317933×10^-1,-5.106703043×10^-1,-2.950434387×10^-2
7.363734167×10^-1,8.211807013×10^-1,-4.859336019×10^-1,-4.423712846×10^-3
7.463234167×10^-1,8.192096949×10^-1,-4.866017997×10^-1,2.302894928×10^-2
7.562734167×10^-1,7.970010638×10^-1,-5.078952312×10^-1,6.610242277×10^-2
7.662234167×10^-1,7.715119720×10^-1,-5.570358634×10^-1,1.466838270×10^-1
7.761734167×10^-1,7.283675671×10^-1,-6.062788367×10^-1,2.412121296×10^-1
7.861234167×10^-1,6.441025138×10^-1,-6.888975501×10^-1,3.249528408×10^-1
7.960734167×10^-1,5.171178579×10^-1,-8.706508875×10^-1,3.569984436×10^-1
8.060234167×10^-1,3.969951868×10^-1,-1.069384933×10^0,3.249632716×10^-1
8.159734167×10^-1,3.567103148×10^-1,-1.231309772×10^0,2.359374464×10^-1
8.259234167×10^-1,3.528021276×10^-1,-1.359367013×10^0,1.166784316×10^-1
8.358734167×10^-1,3.144340515×10^-1,-1.460723162×10^0,4.371239617×10^-2
8.458234167×10^-1,2.360361814×10^-1,-1.596193671×10^0,-3.424684703×10^-2
8.557734167×10^-1,8.394894749×10^-2,-1.638035059×10^0,-1.076292098×10^-1
8.657234167×10^-1,-5.123940762×10^-3,-1.483599186×10^0,-1.507071704×10^-1
8.756724167×10^-1,3.734322265×10^-2,-1.073961616×10^0,-1.487457156×10^-1
8.856224167×10^-1,1.729950607×10^-1,-9.404091239×10^-1,-1.715591550×10^-1
8.955724167×10^-1,3.155021966×10^-1,-8.257505298×10^-1,-1.372515112×10^-1
9.055224167×10^-1,4.423229992×10^-1,-7.668861747×10^-1,-6.645216793×10^-2
9.154724167×10^-1,5.830331445×10^-1,-8.314520121×10^-1,3.531652316×10^-2
9.254224167×10^-1,7.154468298×10^-1,-8.557949066×10^-1,6.098327041×10^-2
9.353724167×10^-1,7.748422623×10^-1,-8.191851377×10^-1,6.380523741×10^-2
9.453224167×10^-1,7.548517585×10^-1,-7.862730026×10^-1,1.767118275×10^-1
9.552724167×10^-1,6.956477165×10^-1,-3.904038370×10^-1,2.989625335×10^-1
9.652224167×10^-1,6.322814822×10^-1,9.472985566×10^-2,4.115591347×10^-1
9.751724167×10^-1,5.634380579×10^-1,2.921185791×10^-1,5.362401009×10^-1
9.851224167×10^-1,4.813182056×10^-1,6.862691045×10^-2,6.435130239×10^-1
9.950724167×10^-1,3.464979231×10^-1,-3.066407740×10^-1,6.592224836×10^-1
1.005022417×10^0,2.079360634×10^-1,-5.980648994×10^-1,5.596604943×10^-1
1.014972417×10^0,9.422440082×10^-2,-8.387121558×10^-1,4.525953829×10^-1
1.024921417×10^0,7.871402428×10^-3,-1.125543952×10^0,2.912419140×10^-1
1.034871417×10^0,-5.988593400×10^-2,-1.451213002×10^0,1.363425255×10^-1
1.044821417×10^0,-2.004640847×10^-1,-1.771749735×10^0,4.554130137×10^-3
1.054771417×10^0,-4.178876281×10^-1,-1.988899827×10^0,-8.747243881×10^-2
1.064721417×10^0,-6.003916264×10^-1,-1.905825496×10^0,-1.747226566×10^-1
1.074671417×10^0,-6.259675622×10^-1,-1.529958129×10^0,-2.273661345×10^-1
1.084621417×10^0,-5.789939761×10^-1,-1.199856877×10^0,-2.446633577×10^-1
1.094571417×10^0,-4.812084734×10^-1,-1.064335346×10^0,-1.975431144×10^-1
1.104521417×10^0,-2.494479269×10^-1,-8.905918002×10^-1,-1.513117105×10^-1
1.114471417×10^0,-2.232694242×10^-4,-6.770887375×10^-1,-1.240360439×10^-1
1.124421417×10^0,1.693175584×10^-1,-5.121112466×10^-1,-8.501221240×10^-2
1.134371417×10^0,2.890939116×10^-1,-3.485301137×10^-1,-5.048382282×10^-2
1.144321417×10^0,4.123870730×10^-1,-2.002567351×10^-1,-4.795695655×10^-3
1.154271417×10^0,5.475382805×10^-1,-1.149671376×10^-1,7.633199543×10^-2
1.164220417×10^0,7.267274857×10^-1,1.942262612×10^-2,1.980078220×10^-1
1.174170417×10^0,9.288846850×10^-1,1.870667934×10^-1,2.909745872×10^-1
1.184120417×10^0,1.028008342×10^0,3.866203725×10^-1,3.533764184×10^-1
1.194070417×10^0,9.567084908×10^-1,5.675404072×10^-1,3.625671864×10^-1
1.204020417×10^0,4.621816427×10^-2,1.538421392×10^0,3.836647272×10^-1
1.213970417×10^0,-1.056804776×10^0,1.694698811×10^0,4.028047621×10^-1
1.223920417×10^0,-1.520759344×10^0,9.118056893×10^-1,3.725512624×10^-1
1.233870417×10^0,-1.241508722×10^0,-6.144514307×10^-2,1.617811024×10^-1
1.243820417×10^0,-8.096976876×10^-1,-6.382464170×10^-1,-1.500657350×10^-1
1.253770417×10^0,-4.641882181×10^-1,-6.931415796×10^-1,-5.172376633×10^-1
1.263720417×10^0,-1.643681973×10^-1,-4.567452967×10^-1,-6.727622747×10^-1
1.273670417×10^0,-4.674458876×10^-2,-4.794536233×10^-1,-6.976245046×10^-1
1.283620417×10^0,-5.895944312×10^-2,-6.289123297×10^-1,-6.055249572×10^-1
1.293570417×10^0,-1.220628396×10^-1,-6.735202670×10^-1,-4.599284232×10^-1
1.303520417×10^0,-7.595127076×10^-2,-4.012884796×10^-1,-3.338397443×10^-1
1.313470417×10^0,1.115848646×10^-1,8.690224588×10^-2,-2.390084714×10^-1
1.323419417×10^0,1.538484246×10^-1,3.427244425×10^-1,-1.357912719×10^-1
1.333369417×10^0,1.953858435×10^-1,5.954566598×10^-1,-1.172662303×10^-1
1.343319417×10^0,2.746630907×10^-1,8.831901550×10^-1,-1.500502825×10^-1
1.353269417×10^0,3.892593682×10^-1,9.897038937×10^-1,-1.885911673×10^-1
1.363219417×10^0,5.092092156×10^-1,8.411735296×10^-1,-2.406077683×10^-1
1.373169417×10^0,6.423310637×10^-1,5.573500395×10^-1,-3.173952103×10^-1
1.383119417×10^0,7.215704918×10^-1,2.141530365×10^-1,-3.686762452×10^-1
1.393069417×10^0,7.736817002×10^-1,1.302023418×10^-2,-4.360881150×10^-1
1.403019417×10^0,8.061682582×10^-1,-3.330492228×10^-2,-4.680452347×10^-1
1.412969417×10^0,6.688994765×10^-1,-7.661279757×10^-3,-3.352575004×10^-1
1.422919417×10^0,5.277248025×10^-1,-1.574012339×10^-1,-1.559780389×10^-1
1.432868792×10^0,3.268121183×10^-1,-3.461420909×10^-2,-8.989508264×10^-3
1.442818792×10^0,2.281942070×10^-1,1.365543455×10^-1,-2.066344172×10^-1
1.452768792×10^0,3.188873082×10^-2,-4.194934294×10^-2,-2.782247961×10^-1
1.462718792×10^0,-1.015667990×10^-1,-2.640742958×10^-1,-3.659205437×10^-1
1.472668792×10^0,-5.369500816×10^-2,-1.611303836×10^-1,-4.149398208×10^-1
1.482618792×10^0,4.587818682×10^-2,3.738164157×10^-2,-4.559024274×10^-1
1.492567792×10^0,2.265545279×10^-1,-7.553450018×10^-2,-4.965997934×10^-1
1.502517792×10^0,3.637112975×10^-1,-3.473401666×10^-1,-5.004776716×10^-1
1.512467792×10^0,5.178292990×10^-1,-6.808357239×10^-1,-4.939449728×10^-1
1.522417792×10^0,6.353660226×10^-1,-7.683759332×10^-1,-4.969061613×10^-1
1.532367792×10^0,7.154582739×10^-1,-6.129657626×10^-1,-5.430469513×10^-1
1.542317792×10^0,7.914747596×10^-1,-2.907270193×10^-1,-5.676521659×10^-1
1.552267792×10^0,8.781672120×10^-1,6.754837185×10^-2,-5.349150300×10^-1
1.562217792×10^0,9.825080037×10^-1,4.683663547×10^-1,-4.732850194×10^-1
1.572167792×10^0,9.884744287×10^-1,7.045322657×10^-1,-3.171217144×10^-1
1.582117792×10^0,1.005393028×10^0,7.643106580×10^-1,-9.572035819×10^-2
1.592067792×10^0,1.095102072×10^0,5.563012362×10^-1,8.298361301×10^-2
1.602017792×10^0,1.077652574×10^0,2.143036723×10^-1,2.337131947×10^-1
1.611967792×10^0,1.086440325×10^0,1.666029096×10^-1,3.546248078×10^-1
1.621917792×10^0,1.139134645×10^0,3.434868753×10^-1,4.315052032×10^-1
1.631867792×10^0,1.196225643×10^0,4.781555831×10^-1,4.839756489×10^-1
1.641817792×10^0,1.223425031×10^0,4.822390079×10^-1,5.377717614×10^-1
1.651767792×10^0,1.159775376×10^0,5.320679545×10^-1,5.793966651×10^-1
1.661717792×10^0,9.088134766×10^-1,4.334713221×10^-1,5.579710007×10^-1
1.671666792×10^0,5.032753348×10^-1,1.749934405×10^-1,4.647167027×10^-1
1.681616792×10^0,9.003049880×10^-2,-1.927244477×10^-2,5.384896994×10^-1
1.691566792×10^0,-1.799033582×10^-1,-9.762680531×10^-2,8.378300071×10^-1
1.701516792×10^0,-3.308398724×10^-1,-2.110108882×10^-1,1.357369542×10^0
1.711466792×10^0,-3.475393653×10^-1,-3.987490013×10^-2,1.848288536×10^0
1.721416792×10^0,-3.502810895×10^-1,1.411425471×10^-1,2.206062317×10^0
1.731366792×10^0,-4.388708770×10^-1,2.866179943×10^-1,2.376287460×10^0
1.741316792×10^0,-6.600991488×10^-1,2.841007710×10^-1,2.431107521×10^0
1.751266792×10^0,-8.659670949×10^-1,4.155232608×10^-1,2.363472939×10^0
1.761216792×10^0,-6.841663718×10^-1,7.523683906×10^-1,2.387583494×10^0
1.771166792×10^0,-3.464637101×10^-1,6.392170787×10^-1,2.656920433×10^0
1.781116792×10^0,-1.824478507×10^-1,4.843257964×10^-1,2.955092907×10^0
1.791066792×10^0,-8.530617692×10^-3,2.977097034×10^-1,3.262349129×10^0
1.801016792×10^0,6.070263386×10^-1,4.559786916×10^-1,3.530429602×10^0
1.810966792×10^0,1.073879957×10^0,1.169233680×10^0,3.793884516×10^0
1.820916792×10^0,8.976517916×10^-1,2.249827147×10^0,4.007416725×10^0
1.830866792×10^0,7.451264262×10^-1,3.335493803×10^0,4.224414349×10^0
1.840816792×10^0,7.764726281×10^-1,3.892288685×10^0,4.533830643×10^0
1.850765792×10^0,7.277722955×10^-1,4.079761028×10^0,4.687551022×10^0
1.860715792×10^0,1.444329143×10^0,4.705970287×10^0,5.599395752×10^0
1.870665792×10^0,1.838001490×10^0,4.590620518×10^0,6.419362068×10^0
1.880615792×10^0,9.825100750×10^-2,1.315144181×10^0,1.600438833×10^0
1.890565792×10^0,-8.883591890×10^-1,1.318521351×10^-1,-1.384241104×10^0
1.900515792×10^0,-1.322738051×10^0,2.290364802×10^-1,-1.911667824×10^0
