"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.052712083×10^-1,1.065539643×10^-1,1.081453077×10^-2,9.385421872×10^-3
7.152212083×10^-1,1.213836148×10^-1,-1.086283382×10^-2,1.298891753×10^-2
7.251712083×10^-1,1.188211218×10^-1,-2.567160875×10^-2,1.291994192×10^-2
7.351212083×10^-1,1.083126962×10^-1,-1.921155676×10^-2,1.380191743×10^-2
7.450712083×10^-1,1.031166017×10^-1,-2.319804206×10^-2,1.389219984×10^-2
7.550212083×10^-1,1.041551977×10^-1,-3.933525458×10^-2,1.795328967×10^-2
7.649712083×10^-1,9.867521375×10^-2,-8.531313390×10^-2,2.005052753×10^-2
7.749212083×10^-1,8.636214584×10^-2,-1.356737018×10^-1,1.331970934×10^-2
7.848712083×10^-1,6.614528596×10^-2,-1.440136582×10^-1,1.071327366×10^-2
7.948212083×10^-1,5.776502565×10^-2,-1.399116814×10^-1,1.810335927×10^-2
8.047712083×10^-1,5.808300525×10^-2,-1.436041445×10^-1,2.864441834×10^-2
8.147212083×10^-1,5.723246932×10^-2,-1.655535847×10^-1,3.715571016×10^-2
8.246712083×10^-1,5.103369430×10^-2,-2.166833431×10^-1,3.621295094×10^-2
8.346212083×10^-1,4.502848908×10^-2,-2.539460957×10^-1,3.231225535×10^-2
8.445712083×10^-1,3.414867818×10^-2,-2.312889844×10^-1,2.916359715×10^-2
8.545212083×10^-1,2.837825753×10^-2,-1.630336344×10^-1,2.269830555×10^-2
8.644712083×10^-1,2.564798482×10^-2,-1.087741256×10^-1,2.083009854×10^-2
8.744212083×10^-1,2.699130587×10^-2,-5.913945287×10^-2,2.623933926×10^-2
8.843712083×10^-1,2.386635356×10^-2,-4.565879703×10^-2,2.121581882×10^-2
8.943212083×10^-1,2.103359997×10^-2,-4.775330797×10^-2,2.777439170×10^-2
9.042712083×10^-1,7.229904644×10^-3,-1.204910874×10^-2,2.290453576×10^-2
9.142212083×10^-1,-2.045325935×10^-3,-8.830515668×10^-3,1.146027073×10^-2
9.241712083×10^-1,5.440819543×10^-3,-3.110332973×10^-2,1.583930664×10^-2
9.341212083×10^-1,1.081212237×10^-2,-4.931810778×10^-3,2.241051942×10^-2
9.440712083×10^-1,8.795310743×10^-3,1.792796329×10^-2,3.334040195×10^-2
9.540212083×10^-1,7.552386727×10^-3,2.371245250×10^-2,2.839130908×10^-2
9.639712083×10^-1,1.917404123×10^-3,3.544367850×10^-2,1.907238504×10^-3
9.739212083×10^-1,3.436343279×10^-3,1.529060677×10^-2,4.390794318×10^-3
9.838712083×10^-1,1.211238839×10^-2,-1.360196620×10^-4,3.439246677×10^-3
9.938212083×10^-1,1.581972837×10^-2,3.758642077×10^-2,4.530110862×10^-3
1.003771208×10^0,7.476843428×10^-3,6.128375977×10^-2,8.634041995×10^-3
1.013721208×10^0,5.463935900×10^-3,6.072133780×10^-2,6.989348680×10^-3
1.023671208×10^0,4.570977762×10^-3,9.278766066×10^-2,4.979195073×10^-3
1.033621208×10^0,-1.832481823×10^-3,1.109067127×10^-1,7.056751288×10^-3
1.043571208×10^0,-8.121004328×10^-3,1.434276253×10^-1,7.246633992×10^-3
1.053521208×10^0,-7.678268477×10^-3,1.968374550×10^-1,1.167180017×10^-2
1.063471208×10^0,3.701684996×10^-3,3.003239334×10^-1,2.511969954×10^-2
1.073421208×10^0,1.770735532×10^-2,3.803088665×10^-1,4.608359560×10^-2
1.083370208×10^0,2.835334092×10^-2,3.876085877×10^-1,2.926866151×10^-2
1.093320208×10^0,3.742079437×10^-2,3.958652318×10^-1,1.266476419×10^-2
1.103270208×10^0,4.899835214×10^-2,4.118916094×10^-1,3.171702102×10^-2
1.113220208×10^0,6.540276855×10^-2,4.138366580×10^-1,4.783435911×10^-2
1.123170208×10^0,8.581216633×10^-2,3.906189501×10^-1,6.616010517×10^-2
1.133120208×10^0,1.062238738×10^-1,3.893920779×10^-1,8.392053843×10^-2
